Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Carpinus betulus,4.0,1.5,1.8,1.2,1.1
Tilia x europaea,16.0,8.0,50.3,4.8,17.1
Tilia cordata,4.0,2.0,3.1,1.2,1.1
Tilia x europaea,5.0,2.5,4.9,1.5,1.6
Carpinus betulus,18.0,4.0,12.6,5.4,4.4
Tilia x europaea,12.0,11.0,95.0,3.6,29.7
Tilia cordata,7.0,6.0,28.3,2.1,2.8
Platanus x hispanica,25.0,10.0,78.5,7.5,0.3
Tilia x europaea,17.0,8.0,50.3,5.1,40.9
Tilia cordata,9.0,8.0,50.3,2.7,6.0
Tilia x europaea,20.0,9.0,63.6,6.0,51.5
Platanus x hispanica,24.0,24.0,452.4,7.2,0.3
Platanus x hispanica,6.0,6.0,28.3,1.8,1.5
Carpinus betulus,11.0,9.0,63.6,3.3,2.9
Celtis australis,4.5,3.0,7.1,1.3,0.7
Celtis australis,4.0,3.0,7.1,1.2,0.9
Platanus x hispanica,10.0,8.0,50.3,3.0,4.4
Celtis australis,6.0,6.0,28.3,1.8,1.0
Celtis australis,6.0,8.0,50.3,1.8,1.6
Celtis australis,13.0,11.5,103.9,3.9,1.9
Celtis australis,7.0,4.0,12.6,2.1,0.8
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.1
Celtis australis,8.3,6.7,35.2,2.5,1.3
Tilia x europaea,4.0,1.5,1.8,1.2,2.3
Celtis australis,6.0,8.0,50.3,1.8,1.6
Aesculus hippocastanum,7.0,8.0,50.3,2.1,3.0
Tilia x europaea,4.0,2.5,4.9,1.2,2.3
Tilia cordata,6.0,6.0,28.3,1.8,2.4
Celtis australis,9.0,7.0,38.5,2.7,1.4
Celtis australis,7.0,7.0,38.5,2.1,1.0
Carpinus betulus,18.0,4.0,12.6,5.4,5.3
Celtis australis,8.0,6.0,28.3,2.4,1.2
Celtis australis,6.0,3.0,7.1,1.8,0.7
Platanus x hispanica,20.0,12.0,113.1,6.0,31.0
Celtis australis,13.0,10.0,78.5,3.9,2.1
Carpinus betulus,4.5,2.5,4.9,1.3,1.7
Carpinus betulus,5.0,3.0,7.1,1.5,2.1
Celtis australis,8.0,6.0,28.3,2.4,1.0
Tilia x europaea,5.0,4.0,12.6,1.5,10.1
Tilia x europaea,6.0,12.0,113.1,1.8,16.0
Celtis australis,19.0,11.5,103.9,5.7,1.8
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.0
Celtis australis,5.0,4.0,12.6,1.5,0.7
Tilia cordata,4.5,2.5,4.9,1.3,1.1
Carpinus betulus,7.0,3.0,7.1,2.1,3.0
Celtis australis,9.0,7.0,38.5,2.7,1.4
Platanus x hispanica,8.0,7.5,44.2,2.4,4.7
Celtis australis,12.0,10.0,78.5,3.6,1.6
Aesculus hippocastanum,3.5,1.0,0.8,1.0,1.3
Tilia cordata,3.0,1.0,0.8,0.9,1.1
Celtis australis,3.0,1.0,0.8,0.9,0.8
Carpinus betulus,4.0,3.0,7.1,1.2,3.0
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,1.3
Celtis australis,15.0,13.0,132.7,4.5,1.9
Celtis australis,9.0,7.0,38.5,2.7,1.2
Aesculus hippocastanum,10.0,7.0,38.5,3.0,15.5
Celtis australis,8.3,6.7,35.2,2.5,1.3
Tilia x europaea,4.0,2.5,4.9,1.2,2.3
Celtis australis,4.0,2.0,3.1,1.2,0.6
Carpinus betulus,4.5,1.5,1.8,1.3,1.3
Platanus x hispanica,22.0,15.0,176.7,6.6,36.5
Platanus x hispanica,12.0,14.0,153.9,3.6,20.5
Tilia cordata,10.0,6.0,28.3,3.0,3.8
Celtis australis,7.0,6.0,28.3,2.1,1.1
Tilia x europaea,12.0,8.0,50.3,3.6,29.7
Tilia cordata,6.4,4.4,14.9,1.9,2.6
Carpinus betulus,4.5,2.5,4.9,1.3,1.7
Aesculus hippocastanum,6.0,6.0,28.3,1.8,16.4
Celtis australis,5.0,6.0,28.3,1.5,1.1
Tilia cordata,5.0,2.0,3.1,1.5,0.8
Tilia x europaea,11.0,11.0,95.0,3.3,16.0
Platanus x hispanica,23.0,16.0,201.1,6.9,34.9
Celtis australis,8.0,6.0,28.3,2.4,1.2
Tilia x europaea,12.0,5.6,24.3,3.6,3.4
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Aesculus hippocastanum,8.4,6.0,28.3,2.5,1.4
Tilia cordata,3.5,1.5,1.8,1.0,0.7
Celtis australis,6.0,9.0,63.6,1.8,1.3
Platanus x hispanica,12.0,8.0,50.3,3.6,8.9
Tilia cordata,20.0,7.0,38.5,6.0,12.5
Carpinus betulus,4.0,3.0,7.1,1.2,4.2
Tilia cordata,8.0,8.0,50.3,2.4,3.8
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Platanus x hispanica,5.0,3.0,7.1,1.5,2.2
Tilia x europaea,8.0,10.0,78.5,2.4,29.7
Celtis australis,5.0,4.0,12.6,1.5,0.8
Aesculus hippocastanum,10.0,8.0,50.3,3.0,11.5
Tilia cordata,5.0,4.0,12.6,1.5,2.3
Celtis australis,12.0,9.0,63.6,3.6,1.8
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Platanus x hispanica,5.0,4.0,12.6,1.5,2.4
Tilia cordata,4.0,1.5,1.8,1.2,0.8
Aesculus hippocastanum,5.0,3.0,7.1,1.5,1.7
Platanus x hispanica,24.0,18.0,254.5,7.2,1.9
Tilia cordata,3.0,1.0,0.8,0.9,1.0
Aesculus hippocastanum,10.0,14.0,153.9,3.0,17.6
Tilia cordata,13.0,10.0,78.5,3.9,6.0
Tilia x europaea,15.0,14.0,153.9,4.5,17.1
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Celtis australis,3.0,3.0,7.1,0.9,0.8
Carpinus betulus,4.5,2.0,3.1,1.3,1.5
Aesculus hippocastanum,7.0,6.0,28.3,2.1,10.2
Tilia x europaea,15.0,8.0,50.3,4.5,33.1
Platanus x hispanica,22.0,15.0,176.7,6.6,22.5
Celtis australis,6.0,6.0,28.3,1.8,2.0
Tilia cordata,14.0,12.0,113.1,4.2,9.2
Tilia cordata,11.0,8.0,50.3,3.3,5.3
Tilia cordata,8.0,6.0,28.3,2.4,1.9
Aesculus hippocastanum,10.0,4.0,12.6,3.0,18.9
Aesculus hippocastanum,9.0,8.0,50.3,2.7,18.4
Platanus x hispanica,4.5,3.0,7.1,1.3,2.4
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Platanus x hispanica,20.0,13.0,132.7,6.0,30.1
Aesculus hippocastanum,10.0,12.0,113.1,3.0,12.6
Tilia cordata,5.0,3.0,7.1,1.5,1.3
Tilia cordata,4.0,3.0,7.1,1.2,1.1
Tilia x europaea,21.0,9.0,63.6,6.3,41.6
Celtis australis,5.0,2.5,4.9,1.5,0.7
Aesculus hippocastanum,12.0,8.0,50.3,3.6,20.0
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Aesculus hippocastanum,8.0,6.0,28.3,2.4,6.3
Tilia cordata,4.5,3.0,7.1,1.3,0.8
Celtis australis,5.0,4.0,12.6,1.5,1.0
Tilia x europaea,8.0,8.0,50.3,2.4,16.0
Tilia cordata,4.0,1.0,0.8,1.2,0.6
Celtis australis,8.0,5.0,19.6,2.4,1.5
Platanus x hispanica,22.0,15.0,176.7,6.6,30.1
Celtis australis,4.0,4.0,12.6,1.2,0.7
Carpinus betulus,6.0,2.0,3.1,1.8,0.6
Carpinus betulus,8.0,6.0,28.3,2.4,2.3
Aesculus hippocastanum,6.0,5.0,19.6,1.8,18.6
Aesculus hippocastanum,6.0,5.0,19.6,1.8,8.8
Platanus x hispanica,26.0,18.0,254.5,7.8,8.1
Carpinus betulus,8.0,2.0,3.1,2.4,1.7
Platanus x hispanica,5.0,3.0,7.1,1.5,2.2
Carpinus betulus,4.5,2.5,4.9,1.3,1.7
Celtis australis,13.0,11.5,103.9,3.9,2.0
Tilia cordata,4.5,4.0,12.6,1.3,1.9
Celtis australis,11.0,7.0,38.5,3.3,1.1
Aesculus hippocastanum,6.0,7.0,38.5,1.8,6.8
Tilia x europaea,6.0,3.0,7.1,1.8,5.0
Platanus x hispanica,11.0,8.0,50.3,3.3,4.7
Tilia x europaea,10.0,12.0,113.1,3.0,16.0
Celtis australis,6.0,6.0,28.3,1.8,1.1
Carpinus betulus,7.0,4.0,12.6,2.1,3.5
