Name,Height (m),Crown Height (m),Crown Width (m),Canopy Cover (m2)
Carpinus betulus,9.0,2.7,7.0,38.5
Aesculus hippocastanum,9.0,2.7,8.0,50.3
Celtis australis,12.0,3.6,10.0,78.5
Platanus x hispanica,19.0,5.7,18.0,254.5
Tilia cordata,6.4,1.9,4.4,14.9
Celtis australis,9.0,2.7,7.0,38.5
Celtis australis,13.0,3.9,11.0,95.0
Celtis australis,4.0,1.2,4.0,12.6
Carpinus betulus,4.0,1.2,2.0,3.1
Celtis australis,12.0,3.6,11.0,95.0
Platanus x hispanica,16.0,4.8,15.0,176.7
Platanus x hispanica,24.0,7.2,17.0,227.0
Platanus x hispanica,25.0,7.5,18.0,254.5
Aesculus hippocastanum,9.0,2.7,5.0,19.6
Platanus x hispanica,12.0,3.6,11.0,95.0
Tilia x europaea,15.0,4.5,8.0,50.3
Celtis australis,8.0,2.4,6.0,28.3
Carpinus betulus,3.0,0.9,1.0,0.8
Platanus x hispanica,16.0,4.8,12.0,113.1
Carpinus betulus,15.0,4.5,4.0,12.6
Tilia x europaea,3.0,0.9,2.0,3.1
Tilia x europaea,14.0,4.2,6.0,28.3
Tilia cordata,5.0,1.5,3.0,7.1
Aesculus hippocastanum,8.0,2.4,7.0,38.5
Tilia cordata,5.0,1.5,6.0,28.3
Tilia cordata,6.0,1.8,7.0,38.5
Tilia cordata,6.0,1.8,5.0,19.6
Aesculus hippocastanum,5.0,1.5,4.0,12.6
Celtis australis,5.0,1.5,3.0,7.1
Carpinus betulus,8.0,2.4,5.0,19.6
Celtis australis,3.5,1.0,2.0,3.1
Aesculus hippocastanum,8.4,2.5,6.4,32.7
Aesculus hippocastanum,4.0,1.2,2.0,3.1
Celtis australis,13.0,3.9,12.0,113.1
Platanus x hispanica,15.0,4.5,12.0,113.1
Celtis australis,7.0,2.1,6.0,28.3
Celtis australis,10.0,3.0,10.0,78.5
Aesculus hippocastanum,6.0,1.8,4.0,12.6
Celtis australis,5.0,1.5,2.5,4.9
Tilia cordata,4.0,1.2,2.0,3.1
Celtis australis,10.0,3.0,8.0,50.3
Tilia x europaea,8.0,2.4,6.0,28.3
Celtis australis,7.0,2.1,6.0,28.3
Aesculus hippocastanum,6.0,1.8,3.0,7.1
Celtis australis,15.0,4.5,11.0,95.0
Aesculus hippocastanum,9.0,2.7,8.0,50.3
Carpinus betulus,6.0,1.8,2.0,3.1
Aesculus hippocastanum,10.0,3.0,9.0,63.6
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia x europaea,12.0,3.6,14.0,153.9
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia cordata,6.4,1.9,4.4,14.9
Celtis australis,13.0,3.9,17.0,227.0
Celtis australis,10.0,3.0,7.0,38.5
Platanus x hispanica,6.0,1.8,1.5,1.8
Carpinus betulus,4.5,1.3,2.5,4.9
Tilia cordata,4.5,1.3,4.0,12.6
Tilia cordata,4.0,1.2,2.5,4.9
Carpinus betulus,4.0,1.2,2.5,4.9
Celtis australis,6.0,1.8,4.0,12.6
Platanus x hispanica,20.0,6.0,12.0,113.1
Tilia x europaea,15.0,4.5,7.0,38.5
Aesculus hippocastanum,14.0,4.2,10.0,78.5
Carpinus betulus,7.0,2.1,3.0,7.1
Celtis australis,6.0,1.8,5.0,19.6
Aesculus hippocastanum,15.0,4.5,8.0,50.3
Aesculus hippocastanum,3.5,1.0,1.5,1.8
Celtis australis,15.0,4.5,10.0,78.5
Platanus x hispanica,6.0,1.8,3.0,7.1
Celtis australis,13.0,3.9,11.0,95.0
Celtis australis,10.0,3.0,10.0,78.5
Platanus x hispanica,24.0,7.2,18.0,254.5
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia cordata,6.0,1.8,4.0,12.6
Tilia x europaea,4.0,1.2,2.5,4.9
Aesculus hippocastanum,13.0,3.9,9.0,63.6
Celtis australis,4.0,1.2,5.0,19.6
Tilia x europaea,5.0,1.5,1.5,1.8
Tilia cordata,4.5,1.3,2.5,4.9
Aesculus hippocastanum,4.0,1.2,2.0,3.1
Platanus x hispanica,25.0,7.5,21.0,346.4
Celtis australis,4.0,1.2,2.0,3.1
Celtis australis,15.0,4.5,11.0,95.0
Platanus x hispanica,5.0,1.5,3.0,7.1
Tilia cordata,10.0,3.0,8.0,50.3
Celtis australis,6.0,1.8,6.0,28.3
Aesculus hippocastanum,10.0,3.0,10.0,78.5
Platanus x hispanica,6.0,1.8,5.0,19.6
Celtis australis,5.0,1.5,7.0,38.5
Tilia cordata,4.5,1.3,2.5,4.9
Platanus x hispanica,11.0,3.3,10.0,78.5
Carpinus betulus,8.0,2.4,4.0,12.6
Carpinus betulus,12.0,3.6,6.0,28.3
Platanus x hispanica,20.0,6.0,17.0,227.0
Tilia cordata,4.0,1.2,2.0,3.1
Celtis australis,12.0,3.6,8.0,50.3
Celtis australis,7.0,2.1,6.0,28.3
Celtis australis,5.0,1.5,3.0,7.1
Celtis australis,10.0,3.0,12.0,113.1
Platanus x hispanica,14.0,4.2,23.0,415.5
Carpinus betulus,3.0,0.9,2.0,3.1
Aesculus hippocastanum,5.5,1.7,5.0,19.6
Tilia x europaea,8.0,2.4,12.0,113.1
Celtis australis,13.0,3.9,11.0,95.0
Tilia cordata,8.0,2.4,4.0,12.6
Platanus x hispanica,16.0,4.8,22.0,380.1
Celtis australis,4.5,1.3,4.0,12.6
Celtis australis,10.0,3.0,8.0,50.3
Platanus x hispanica,3.0,0.9,9.6,72.5
Celtis australis,6.0,1.8,5.0,19.6
Platanus x hispanica,12.0,3.6,10.0,78.5
Aesculus hippocastanum,3.0,0.9,1.0,0.8
Aesculus hippocastanum,8.0,2.4,6.0,28.3
Tilia cordata,4.0,1.2,4.0,12.6
Aesculus hippocastanum,11.0,3.3,11.0,95.0
Celtis australis,8.3,2.5,6.7,35.2
Celtis australis,5.0,1.5,4.0,12.6
Tilia cordata,4.0,1.2,2.5,4.9
Carpinus betulus,7.0,2.1,4.0,12.6
Tilia cordata,7.0,2.1,5.0,19.6
Aesculus hippocastanum,8.0,2.4,8.0,50.3
Celtis australis,8.0,2.4,6.0,28.3
Carpinus betulus,6.0,1.8,5.0,19.6
Platanus x hispanica,26.0,7.8,22.0,380.1
Celtis australis,6.0,1.8,4.0,12.6
Platanus x hispanica,6.0,1.8,5.0,19.6
Tilia cordata,6.0,1.8,4.5,15.9
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia cordata,7.0,2.1,5.0,19.6
Platanus x hispanica,6.0,1.8,1.5,1.8
Tilia cordata,5.0,1.5,4.0,12.6
Platanus x hispanica,7.0,2.1,3.0,7.1
Celtis australis,13.0,3.9,12.0,113.1
Celtis australis,5.0,1.5,2.5,4.9
Tilia cordata,7.0,2.1,11.0,95.0
Tilia x europaea,4.0,1.2,2.0,3.1
Carpinus betulus,6.0,1.8,3.0,7.1
Aesculus hippocastanum,12.0,3.6,10.0,78.5
Tilia x europaea,4.0,1.2,1.5,1.8
Platanus x hispanica,25.0,7.5,19.0,283.5
Aesculus hippocastanum,12.0,3.6,7.0,38.5
Tilia x europaea,18.0,5.4,10.0,78.5
Platanus x hispanica,6.0,1.8,4.0,12.6
Platanus x hispanica,11.0,3.3,9.0,63.6
Aesculus hippocastanum,8.0,2.4,11.0,95.0
Celtis australis,8.3,2.5,6.7,35.2
Platanus x hispanica,18.0,5.4,9.0,63.6
Platanus x hispanica,17.0,5.1,15.0,176.7
Tilia x europaea,15.0,4.5,8.0,50.3
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia x europaea,4.0,1.2,2.5,4.9
Platanus x hispanica,8.0,2.4,8.0,50.3
Aesculus hippocastanum,8.0,2.4,6.0,28.3
Platanus x hispanica,5.0,1.5,3.0,7.1
Tilia x europaea,18.0,5.4,10.0,78.5
Platanus x hispanica,7.0,2.1,7.0,38.5
Tilia x europaea,8.0,2.4,1.0,0.8
Platanus x hispanica,4.0,1.2,2.0,3.1
Tilia x europaea,8.0,2.4,4.0,12.6
Celtis australis,8.0,2.4,6.0,28.3
Celtis australis,5.0,1.5,3.0,7.1
Carpinus betulus,7.5,2.3,6.0,28.3
Tilia x europaea,4.0,1.2,2.0,3.1
Aesculus hippocastanum,5.0,1.5,3.0,7.1
Tilia cordata,4.0,1.2,1.5,1.8
Aesculus hippocastanum,9.0,2.7,8.0,50.3
Celtis australis,5.0,1.5,3.0,7.1
Aesculus hippocastanum,10.0,3.0,7.0,38.5
Celtis australis,13.0,3.9,8.0,50.3
Aesculus hippocastanum,4.0,1.2,3.0,7.1
Platanus x hispanica,25.0,7.5,22.0,380.1
Platanus x hispanica,22.0,6.6,15.0,176.7
Tilia x europaea,5.0,1.5,4.0,12.6
Tilia cordata,3.0,0.9,1.0,0.8
Tilia cordata,10.0,3.0,8.0,50.3
Celtis australis,6.0,1.8,4.0,12.6
Celtis australis,5.0,1.5,2.5,4.9
Celtis australis,6.0,1.8,9.0,63.6
Tilia cordata,5.0,1.5,3.0,7.1
Aesculus hippocastanum,10.0,3.0,6.0,28.3
Celtis australis,8.3,2.5,6.7,35.2
Carpinus betulus,6.0,1.8,4.0,12.6
Tilia cordata,6.0,1.8,5.0,19.6
Aesculus hippocastanum,5.0,1.5,3.0,7.1
Celtis australis,8.0,2.4,12.0,113.1
Carpinus betulus,4.5,1.3,2.5,4.9
Tilia cordata,4.0,1.2,1.5,1.8
Celtis australis,7.0,2.1,6.0,28.3
Tilia cordata,8.0,2.4,8.0,50.3
Celtis australis,15.0,4.5,12.0,113.1
Celtis australis,7.0,2.1,6.0,28.3
Celtis australis,8.0,2.4,6.0,28.3
Tilia cordata,4.0,1.2,1.0,0.8
Celtis australis,8.0,2.4,8.0,50.3
Tilia cordata,3.0,0.9,1.0,0.8
Celtis australis,8.3,2.5,6.7,35.2
Tilia x europaea,12.0,3.6,8.0,50.3
Celtis australis,20.0,6.0,12.0,113.1
Carpinus betulus,14.0,4.2,8.0,50.3
Aesculus hippocastanum,6.0,1.8,4.0,12.6
Celtis australis,8.3,2.5,6.7,35.2
Aesculus hippocastanum,8.0,2.4,8.0,50.3
Aesculus hippocastanum,4.0,1.2,3.5,9.6
Carpinus betulus,6.2,1.9,3.6,10.1
Aesculus hippocastanum,3.5,1.0,2.0,3.1
Tilia x europaea,8.0,2.4,5.0,19.6
Tilia cordata,13.0,3.9,9.0,63.6
Tilia x europaea,17.0,5.1,11.0,95.0
Tilia x europaea,10.0,3.0,3.0,7.1
Tilia cordata,7.0,2.1,6.0,28.3
Carpinus betulus,5.0,1.5,3.0,7.1
Aesculus hippocastanum,3.5,1.0,2.0,3.1
Aesculus hippocastanum,14.0,4.2,7.0,38.5
Tilia cordata,5.0,1.5,4.0,12.6
Celtis australis,6.0,1.8,5.0,19.6
Aesculus hippocastanum,12.0,3.6,10.0,78.5
Aesculus hippocastanum,13.0,3.9,8.0,50.3
Celtis australis,10.0,3.0,8.0,50.3
Celtis australis,5.0,1.5,3.0,7.1
Celtis australis,6.0,1.8,6.0,28.3
Tilia x europaea,5.0,1.5,2.5,4.9
Aesculus hippocastanum,10.0,3.0,4.0,12.6
Celtis australis,7.0,2.1,6.0,28.3
Tilia x europaea,12.0,3.6,8.0,50.3
Tilia cordata,16.0,4.8,8.0,50.3
Celtis australis,7.0,2.1,7.0,38.5
Celtis australis,5.0,1.5,7.0,38.5
Tilia x europaea,12.0,3.6,11.0,95.0
Aesculus hippocastanum,10.0,3.0,10.0,78.5
Carpinus betulus,6.0,1.8,3.0,7.1
Tilia x europaea,15.0,4.5,8.0,50.3
Platanus x hispanica,21.0,6.3,15.0,176.7
Aesculus hippocastanum,3.5,1.0,1.5,1.8
Celtis australis,4.5,1.3,3.0,7.1
Platanus x hispanica,23.0,6.9,18.0,254.5
Tilia x europaea,8.0,2.4,6.0,28.3
Carpinus betulus,8.0,2.4,4.0,12.6
Celtis australis,6.0,1.8,4.0,12.6
Celtis australis,7.0,2.1,9.0,63.6
Platanus x hispanica,19.0,5.7,13.0,132.7
Tilia cordata,8.0,2.4,4.0,12.6
Tilia cordata,6.0,1.8,6.0,28.3
Platanus x hispanica,18.0,5.4,20.0,314.2
Celtis australis,5.0,1.5,8.0,50.3
Carpinus betulus,4.0,1.2,3.0,7.1
Aesculus hippocastanum,10.0,3.0,11.0,95.0
Tilia cordata,7.0,2.1,6.0,28.3
Platanus x hispanica,10.0,3.0,9.0,63.6
Celtis australis,6.0,1.8,7.0,38.5
Celtis australis,15.0,4.5,12.0,113.1
Celtis australis,4.0,1.2,8.0,50.3
Celtis australis,4.0,1.2,5.0,19.6
Celtis australis,6.0,1.8,3.0,7.1
Aesculus hippocastanum,10.0,3.0,10.0,78.5
Carpinus betulus,15.0,4.5,4.0,12.6
Celtis australis,5.0,1.5,3.0,7.1
Platanus x hispanica,13.0,3.9,10.0,78.5
Tilia cordata,5.0,1.5,1.5,1.8
Platanus x hispanica,19.0,5.7,19.0,283.5
Celtis australis,3.5,1.0,1.5,1.8
Celtis australis,6.0,1.8,5.0,19.6
Carpinus betulus,5.0,1.5,8.0,50.3
Celtis australis,5.0,1.5,2.0,3.1
Celtis australis,6.0,1.8,6.0,28.3
Celtis australis,8.0,2.4,8.0,50.3
Platanus x hispanica,6.0,1.8,2.0,3.1
Celtis australis,9.0,2.7,7.0,38.5
Tilia x europaea,5.0,1.5,5.0,19.6
Celtis australis,14.0,4.2,11.0,95.0
Tilia cordata,4.0,1.2,2.5,4.9
Tilia x europaea,4.0,1.2,2.5,4.9
Celtis australis,12.0,3.6,10.0,78.5
Platanus x hispanica,24.0,7.2,18.0,254.5
Aesculus hippocastanum,12.0,3.6,6.0,28.3
Aesculus hippocastanum,11.0,3.3,8.0,50.3
Celtis australis,12.0,3.6,10.0,78.5
Tilia cordata,18.0,5.4,6.0,28.3
Tilia x europaea,8.0,2.4,10.0,78.5
Platanus x hispanica,21.0,6.3,8.0,50.3
Celtis australis,12.0,3.6,11.0,95.0
Celtis australis,10.0,3.0,8.0,50.3
Carpinus betulus,4.0,1.2,3.0,7.1
Aesculus hippocastanum,7.0,2.1,3.0,7.1
Celtis australis,9.0,2.7,7.0,38.5
Celtis australis,4.0,1.2,3.0,7.1
Tilia x europaea,7.0,2.1,9.0,63.6
Tilia x europaea,12.0,3.6,10.0,78.5
Celtis australis,4.0,1.2,1.0,0.8
Platanus x hispanica,10.0,3.0,5.0,19.6
Aesculus hippocastanum,14.0,4.2,5.0,19.6
Carpinus betulus,8.0,2.4,3.0,7.1
Tilia cordata,6.0,1.8,4.0,12.6
Celtis australis,10.0,3.0,8.0,50.3
Tilia x europaea,5.0,1.5,4.0,12.6
Tilia cordata,4.0,1.2,1.0,0.8
Platanus x hispanica,24.0,7.2,16.0,201.1
Celtis australis,6.0,1.8,6.0,28.3
Tilia cordata,3.0,0.9,1.0,0.8
Tilia x europaea,6.0,1.8,3.0,7.1
Tilia x europaea,4.0,1.2,1.0,0.8
Tilia x europaea,16.0,4.8,8.0,50.3
Platanus x hispanica,7.0,2.1,7.0,38.5
Carpinus betulus,3.0,0.9,1.0,0.8
Tilia cordata,6.0,1.8,4.0,12.6
Tilia cordata,5.5,1.7,5.0,19.6
Aesculus hippocastanum,7.0,2.1,4.0,12.6
Carpinus betulus,4.0,1.2,2.0,3.1
Platanus x hispanica,26.0,7.8,24.0,452.4
Carpinus betulus,5.0,1.5,4.0,12.6
Celtis australis,8.3,2.5,6.7,35.2
Carpinus betulus,6.0,1.8,4.0,12.6
Aesculus hippocastanum,10.0,3.0,5.0,19.6
Carpinus betulus,6.0,1.8,2.0,3.1
Carpinus betulus,4.0,1.2,2.5,4.9
Celtis australis,10.0,3.0,12.0,113.1
Tilia x europaea,10.0,3.0,9.0,63.6
Tilia x europaea,4.0,1.2,1.0,0.8
Carpinus betulus,8.0,2.4,7.0,38.5
Carpinus betulus,5.0,1.5,3.0,7.1
Tilia x europaea,4.0,1.2,2.5,4.9
Carpinus betulus,8.0,2.4,6.0,28.3
Aesculus hippocastanum,6.0,1.8,4.0,12.6
Platanus x hispanica,6.0,1.8,4.0,12.6
Celtis australis,10.0,3.0,8.0,50.3
Celtis australis,14.0,4.2,12.0,113.1
Carpinus betulus,9.0,2.7,5.0,19.6
Tilia cordata,11.0,3.3,8.0,50.3
Carpinus betulus,3.0,0.9,1.0,0.8
Tilia x europaea,4.0,1.2,1.5,1.8
Celtis australis,11.0,3.3,7.0,38.5
Celtis australis,3.0,0.9,1.0,0.8
Platanus x hispanica,24.0,7.2,21.0,346.4
Tilia x europaea,4.5,1.3,4.0,12.6
Tilia cordata,5.0,1.5,3.0,7.1
Aesculus hippocastanum,12.0,3.6,8.0,50.3
Aesculus hippocastanum,12.5,3.8,12.5,122.7
Celtis australis,5.0,1.5,6.0,28.3
Celtis australis,6.0,1.8,4.0,12.6
Aesculus hippocastanum,12.0,3.6,9.0,63.6
Tilia cordata,4.5,1.3,2.0,3.1
Tilia x europaea,10.0,3.0,10.0,78.5
Tilia x europaea,8.0,2.4,6.0,28.3
Tilia x europaea,15.0,4.5,9.0,63.6
Celtis australis,7.0,2.1,6.0,28.3
Celtis australis,8.0,2.4,5.5,23.8
Celtis australis,5.0,1.5,6.0,28.3
Celtis australis,5.0,1.5,6.0,28.3
Aesculus hippocastanum,3.5,1.0,2.0,3.1
Carpinus betulus,12.0,3.6,3.0,7.1
Celtis australis,4.0,1.2,4.0,12.6
Carpinus betulus,6.0,1.8,5.0,19.6
Celtis australis,6.0,1.8,5.0,19.6
Platanus x hispanica,4.0,1.2,1.0,0.8
Celtis australis,9.0,2.7,7.0,38.5
Celtis australis,5.0,1.5,4.0,12.6
Celtis australis,5.0,1.5,3.0,7.1
Tilia x europaea,11.0,3.3,6.0,28.3
Carpinus betulus,6.0,1.8,4.0,12.6
Tilia x europaea,10.0,3.0,12.0,113.1
Platanus x hispanica,16.0,4.8,16.0,201.1
Carpinus betulus,4.5,1.3,2.5,4.9
Tilia x europaea,5.0,1.5,2.5,4.9
Carpinus betulus,4.5,1.3,4.0,12.6
Carpinus betulus,9.0,2.7,7.0,38.5
Celtis australis,5.0,1.5,6.0,28.3
Tilia x europaea,4.0,1.2,2.5,4.9
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia cordata,3.0,0.9,1.0,0.8
Tilia cordata,15.0,4.5,9.0,63.6
Carpinus betulus,8.0,2.4,6.0,28.3
Aesculus hippocastanum,12.0,3.6,8.0,50.3
Aesculus hippocastanum,11.0,3.3,11.0,95.0
Platanus x hispanica,21.0,6.3,18.0,254.5
Tilia x europaea,5.0,1.5,1.5,1.8
Aesculus hippocastanum,11.0,3.3,12.0,113.1
Platanus x hispanica,2.0,0.6,2.0,3.1
Aesculus hippocastanum,3.0,0.9,2.0,3.1
Tilia x europaea,5.0,1.5,3.0,7.1
Aesculus hippocastanum,12.0,3.6,10.0,78.5
Tilia x europaea,8.0,2.4,5.0,19.6
Celtis australis,3.5,1.0,4.0,12.6
Tilia cordata,8.0,2.4,7.0,38.5
Celtis australis,5.0,1.5,3.0,7.1
Tilia cordata,8.0,2.4,8.0,50.3
Carpinus betulus,9.0,2.7,6.0,28.3
Platanus x hispanica,7.0,2.1,3.0,7.1
Carpinus betulus,7.0,2.1,5.0,19.6
Celtis australis,13.0,3.9,11.0,95.0
Celtis australis,9.0,2.7,7.0,38.5
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia x europaea,18.0,5.4,11.0,95.0
Platanus x hispanica,24.0,7.2,18.0,254.5
Carpinus betulus,6.0,1.8,2.5,4.9
Tilia x europaea,7.0,2.1,6.0,28.3
Celtis australis,8.0,2.4,5.0,19.6
Tilia x europaea,5.0,1.5,1.5,1.8
Tilia x europaea,8.0,2.4,5.0,19.6
Tilia x europaea,4.0,1.2,1.5,1.8
Carpinus betulus,3.0,0.9,1.0,0.8
Celtis australis,6.0,1.8,8.0,50.3
Tilia cordata,5.0,1.5,3.0,7.1
Carpinus betulus,7.0,2.1,4.0,12.6
Carpinus betulus,4.0,1.2,3.0,7.1
Platanus x hispanica,6.0,1.8,2.0,3.1
Celtis australis,4.5,1.3,4.0,12.6
Carpinus betulus,4.5,1.3,3.0,7.1
Platanus x hispanica,23.0,6.9,13.0,132.7
Celtis australis,14.0,4.2,12.0,113.1
Tilia x europaea,20.0,6.0,10.0,78.5
Platanus x hispanica,4.0,1.2,3.0,7.1
Carpinus betulus,7.0,2.1,6.0,28.3
Carpinus betulus,6.0,1.8,4.0,12.6
Celtis australis,6.0,1.8,6.0,28.3
Aesculus hippocastanum,9.0,2.7,8.0,50.3
Celtis australis,10.0,3.0,8.0,50.3
Celtis australis,8.3,2.5,6.7,35.2
Aesculus hippocastanum,8.0,2.4,3.5,9.6
Aesculus hippocastanum,7.0,2.1,4.0,12.6
Tilia x europaea,5.0,1.5,3.0,7.1
Tilia x europaea,5.0,1.5,5.0,19.6
Tilia x europaea,13.0,3.9,10.0,78.5
Celtis australis,13.0,3.9,12.5,122.7
Tilia cordata,13.0,3.9,9.0,63.6
Celtis australis,8.0,2.4,8.0,50.3
Tilia x europaea,6.0,1.8,5.0,19.6
Aesculus hippocastanum,3.5,1.0,2.5,4.9
Celtis australis,5.0,1.5,3.0,7.1
Aesculus hippocastanum,6.0,1.8,4.0,12.6
Platanus x hispanica,9.0,2.7,8.0,50.3
Tilia cordata,4.0,1.2,2.5,4.9
Platanus x hispanica,18.0,5.4,15.0,176.7
Carpinus betulus,7.0,2.1,5.0,19.6
Aesculus hippocastanum,12.0,3.6,9.0,63.6
Tilia cordata,8.0,2.4,8.0,50.3
Platanus x hispanica,6.0,1.8,2.0,3.1
Celtis australis,5.0,1.5,2.0,3.1
Aesculus hippocastanum,6.0,1.8,3.0,7.1
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia cordata,4.0,1.2,1.0,0.8
Platanus x hispanica,6.0,1.8,5.0,19.6
Carpinus betulus,4.5,1.3,2.0,3.1
Tilia x europaea,10.0,3.0,10.0,78.5
Tilia cordata,4.0,1.2,3.0,7.1
Tilia x europaea,4.0,1.2,2.5,4.9
Aesculus hippocastanum,11.0,3.3,7.0,38.5
Carpinus betulus,3.0,0.9,1.0,0.8
Platanus x hispanica,6.0,1.8,5.0,19.6
Aesculus hippocastanum,7.0,2.1,4.0,12.6
Celtis australis,3.0,0.9,1.0,0.8
Platanus x hispanica,12.0,3.6,10.0,78.5
Celtis australis,20.0,6.0,3.0,7.1
Tilia x europaea,14.0,4.2,14.0,153.9
Tilia cordata,8.0,2.4,6.0,28.3
Celtis australis,8.3,2.5,6.7,35.2
Platanus x hispanica,6.0,1.8,6.0,28.3
Tilia cordata,4.0,1.2,2.5,4.9
Tilia cordata,4.5,1.3,1.0,0.8
Tilia x europaea,7.0,2.1,9.0,63.6
Celtis australis,12.0,3.6,10.0,78.5
Carpinus betulus,4.0,1.2,1.5,1.8
Carpinus betulus,6.0,1.8,5.0,19.6
Celtis australis,5.0,1.5,3.0,7.1
Tilia cordata,4.0,1.2,1.0,0.8
Platanus x hispanica,22.0,6.6,15.0,176.7
Carpinus betulus,4.5,1.3,3.0,7.1
Celtis australis,9.0,2.7,8.0,50.3
Carpinus betulus,10.0,3.0,3.0,7.1
Carpinus betulus,4.0,1.2,2.0,3.1
Carpinus betulus,6.0,1.8,2.0,3.1
Carpinus betulus,5.0,1.5,5.0,19.6
Celtis australis,6.0,1.8,5.0,19.6
Carpinus betulus,7.0,2.1,6.0,28.3
Carpinus betulus,10.0,3.0,6.0,28.3
Carpinus betulus,12.0,3.6,6.0,28.3
Platanus x hispanica,4.0,1.2,1.0,0.8
Celtis australis,14.0,4.2,12.5,122.7
Aesculus hippocastanum,15.0,4.5,5.0,19.6
Platanus x hispanica,10.0,3.0,8.0,50.3
Aesculus hippocastanum,15.0,4.5,12.0,113.1
Carpinus betulus,9.0,2.7,7.0,38.5
Carpinus betulus,3.0,0.9,2.0,3.1
Celtis australis,5.0,1.5,5.0,19.6
Tilia cordata,8.0,2.4,4.0,12.6
Celtis australis,8.3,2.5,6.7,35.2
Tilia cordata,6.0,1.8,2.5,4.9
Platanus x hispanica,3.0,0.9,9.6,72.5
Carpinus betulus,4.0,1.2,1.0,0.8
Celtis australis,4.0,1.2,4.0,12.6
Tilia x europaea,7.0,2.1,4.0,12.6
Tilia x europaea,8.0,2.4,10.0,78.5
Carpinus betulus,4.0,1.2,3.0,7.1
Tilia cordata,7.0,2.1,5.0,19.6
Tilia x europaea,5.0,1.5,4.0,12.6
Celtis australis,10.0,3.0,3.0,7.1
Celtis australis,8.0,2.4,9.0,63.6
Tilia cordata,5.0,1.5,4.0,12.6
Aesculus hippocastanum,9.0,2.7,8.0,50.3
Carpinus betulus,13.0,3.9,8.0,50.3
Tilia x europaea,8.0,2.4,8.0,50.3
Celtis australis,3.0,0.9,1.0,0.8
Celtis australis,15.0,4.5,12.0,113.1
Tilia x europaea,5.0,1.5,2.0,3.1
Platanus x hispanica,8.0,2.4,5.5,23.8
Tilia x europaea,11.0,3.3,4.0,12.6
Platanus x hispanica,3.0,0.9,9.6,72.5
Carpinus betulus,4.0,1.2,2.0,3.1
Platanus x hispanica,22.0,6.6,11.0,95.0
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia x europaea,5.0,1.5,5.0,19.6
Tilia cordata,4.0,1.2,2.5,4.9
Celtis australis,14.0,4.2,12.0,113.1
Celtis australis,12.0,3.6,10.0,78.5
Platanus x hispanica,5.0,1.5,3.5,9.6
Carpinus betulus,4.0,1.2,2.0,3.1
Tilia cordata,4.0,1.2,1.5,1.8
Tilia cordata,4.0,1.2,2.5,4.9
Carpinus betulus,6.0,1.8,2.0,3.1
Platanus x hispanica,22.0,6.6,15.0,176.7
Celtis australis,4.0,1.2,1.5,1.8
Celtis australis,12.0,3.6,12.0,113.1
Platanus x hispanica,4.5,1.3,3.5,9.6
Platanus x hispanica,9.0,2.7,8.5,56.7
Tilia cordata,4.5,1.3,3.0,7.1
Aesculus hippocastanum,12.0,3.6,8.0,50.3
Tilia x europaea,18.5,5.6,8.0,50.3
Celtis australis,6.0,1.8,9.0,63.6
Celtis australis,10.0,3.0,10.0,78.5
Aesculus hippocastanum,8.0,2.4,7.0,38.5
Aesculus hippocastanum,9.5,2.8,8.0,50.3
Tilia x europaea,5.0,1.5,2.5,4.9
Tilia x europaea,14.0,4.2,12.0,113.1
