January,February,March,April,May,June,July,August,September,October,November,December
-5.5,0.4,5.1,10.1,11.1,10.0,17.5,17.4,15.2,17.1,3.8,5.2
-7.7,0.7,5.6,11.2,14.8,10.4,18.1,17.8,17.2,15.9,4.3,1.8
-8.9,1.3,5.8,8.4,12.2,14.5,18.9,17.1,18.8,10.7,3.9,0.9
-6.6,2.4,3.9,9.6,11.6,13.8,17.5,16.5,19.0,11.4,1.3,0.9
-7.1,3.7,2.4,10.7,11.1,17.0,17.0,18.1,14.9,14.3,1.8,1.6
-2.8,2.5,4.9,7.1,9.6,15.4,17.5,16.3,14.1,12.0,5.2,1.7
-0.6,2.5,9.2,6.8,11.0,15.1,15.8,20.2,10.0,13.9,0.0,2.0
-2.1,3.9,3.0,7.3,11.9,14.6,15.1,19.3,11.7,16.0,6.0,4.9
-3.4,1.4,-0.2,8.4,12.2,14.5,14.0,18.7,13.2,16.3,6.4,5.7
-3.2,0.6,-0.6,9.5,13.9,14.4,14.4,18.4,14.3,14.8,7.0,2.8
-1.5,3.4,-0.6,6.6,13.5,14.0,13.2,18.5,14.8,11.3,1.1,-0.8
-2.6,-0.3,-0.2,7.9,13.1,16.7,14.6,17.2,14.7,12.0,0.7,1.0
-4.1,0.6,0.8,8.3,14.1,14.0,16.3,18.4,13.4,11.7,0.4,0.4
0.2,-1.4,1.9,9.5,15.4,14.8,20.3,18.9,12.1,6.2,4.0,-0.9
2.1,1.1,2.5,7.8,15.2,21.5,20.0,18.3,10.7,4.7,4.7,-3.9
-1.3,-1.4,4.5,9.6,13.8,21.7,19.3,19.7,13.9,1.7,8.9,-6.0
-3.3,-3.9,2.1,8.7,14.2,18.2,19.8,19.8,15.4,1.9,5.6,-5.6
-1.2,-1.4,2.8,8.5,14.9,14.6,13.1,19.1,16.3,0.6,5.6,-5.8
-1.4,-4.8,2.6,9.2,15.6,17.5,13.9,17.9,14.2,1.1,3.6,-3.5
0.4,-0.7,5.2,10.3,15.2,14.9,14.5,19.4,12.9,6.1,2.6,-8.6
1.5,-1.4,2.0,10.5,17.6,14.8,16.7,20.3,15.7,4.9,1.7,-9.5
1.2,-2.0,2.9,8.6,16.0,12.4,19.6,19.4,14.3,7.8,-1.4,-4.3
-0.7,-1.4,2.0,10.7,14.6,14.9,17.9,19.4,13.6,7.9,6.2,0.1
-2.6,-3.0,5.4,8.1,17.9,16.7,18.0,19.8,14.4,7.6,4.3,1.4
-0.4,-1.9,-0.2,6.0,18.8,14.6,17.9,16.9,16.2,6.6,1.4,2.8
0.0,-0.6,5.8,9.1,16.0,16.9,18.5,18.2,15.7,5.6,7.3,1.9
3.7,-0.1,2.7,9.6,20.6,16.3,18.4,19.4,13.8,4.3,7.7,-2.3
6.1,0.7,8.8,9.7,16.5,16.5,18.8,19.2,10.9,4.8,6.7,-3.5
2.6,0.0,7.4,9.5,11.1,18.2,19.4,18.7,12.7,5.6,6.4,-3.8
-0.7,0.0,6.9,9.4,9.5,17.0,19.5,16.4,10.3,2.7,5.5,0.2
-2.5,0.0,10.4,0.0,10.5,0.0,18.8,13.4,0.0,5.9,0.0,1.9
