January,February,March,April,May,June,July,August,September,October,November,December
1.0,6.0,13.0,24.0,25.0,16.0,24.0,26.0,31.0,23.0,9.0,13.0
2.0,6.0,12.0,22.0,25.0,21.0,26.0,29.0,32.0,26.0,8.0,7.0
3.0,1.0,17.0,26.0,28.0,25.0,26.0,30.0,31.0,24.0,9.0,8.0
3.0,4.0,17.0,20.0,25.0,25.0,28.0,32.0,31.0,22.0,12.0,8.0
2.0,4.0,18.0,18.0,19.0,21.0,22.0,32.0,31.0,21.0,10.0,2.0
4.0,11.0,16.0,20.0,15.0,27.0,28.0,32.0,31.0,21.0,10.0,2.0
4.0,3.0,15.0,19.0,18.0,29.0,24.0,27.0,26.0,21.0,16.0,0.0
2.0,5.0,16.0,15.0,16.0,27.0,31.0,30.0,30.0,24.0,14.0,3.0
2.0,6.0,16.0,18.0,19.0,30.0,29.0,35.0,32.0,23.0,11.0,3.0
4.0,10.0,18.0,26.0,20.0,30.0,26.0,31.0,33.0,21.0,11.0,4.0
8.0,9.0,17.0,22.0,23.0,29.0,30.0,29.0,26.0,21.0,12.0,4.0
5.0,7.0,20.0,19.0,19.0,32.0,29.0,31.0,28.0,19.0,8.0,9.0
5.0,10.0,21.0,22.0,24.0,29.0,31.0,31.0,23.0,18.0,13.0,11.0
4.0,8.0,21.0,18.0,32.0,25.0,29.0,33.0,28.0,15.0,11.0,7.0
5.0,11.0,22.0,19.0,31.0,30.0,33.0,33.0,26.0,14.0,7.0,6.0
5.0,9.0,23.0,14.0,29.0,30.0,29.0,31.0,27.0,12.0,6.0,2.0
3.0,5.0,25.0,18.0,29.0,30.0,28.0,20.0,28.0,15.0,7.0,2.0
1.0,6.0,18.0,19.0,27.0,25.0,24.0,28.0,29.0,13.0,4.0,1.0
1.0,10.0,18.0,19.0,27.0,19.0,30.0,29.0,29.0,12.0,6.0,4.0
2.0,9.0,20.0,14.0,26.0,28.0,30.0,30.0,26.0,18.0,6.0,5.0
5.0,8.0,15.0,20.0,26.0,26.0,30.0,28.0,23.0,17.0,7.0,8.0
7.0,9.0,18.0,16.0,26.0,22.0,29.0,30.0,26.0,15.0,7.0,9.0
7.0,13.0,13.0,22.0,24.0,27.0,30.0,30.0,26.0,15.0,8.0,8.0
7.0,7.0,19.0,20.0,26.0,27.0,27.0,30.0,28.0,18.0,8.0,7.0
5.0,8.0,15.0,22.0,17.0,23.0,32.0,31.0,24.0,12.0,7.0,4.0
6.0,14.0,21.0,21.0,24.0,18.0,33.0,30.0,21.0,9.0,9.0,4.0
5.0,13.0,19.0,14.0,25.0,14.0,30.0,30.0,25.0,12.0,8.0,8.0
5.0,13.0,19.0,22.0,25.0,27.0,31.0,26.0,23.0,8.0,8.0,4.0
3.0,0.0,14.0,21.0,25.0,26.0,27.0,28.0,25.0,4.0,8.0,4.0
5.0,0.0,15.0,24.0,30.0,24.0,31.0,25.0,25.0,8.0,11.0,3.0
6.0,0.0,23.0,0.0,24.0,0.0,30.0,32.0,0.0,11.0,0.0,3.0
