January,February,March,April,May,June,July,August,September,October,November,December
-2.4,0.4,-0.3,10.4,8.6,8.1,20.6,19.6,11.6,15.6,5.2,-1.8
0.4,-0.9,0.4,9.3,13.2,9.3,21.2,19.6,12.6,18.0,-0.4,-3.6
3.7,-1.0,-2.2,8.4,11.3,14.0,19.8,14.8,15.0,18.0,-4.0,0.8
-2.8,-3.8,3.1,2.6,11.8,11.0,18.2,16.4,16.6,10.1,-3.2,1.2
-1.2,-7.0,3.0,7.2,11.8,15.2,22.0,14.0,17.2,8.4,-3.8,1.2
-2.2,-3.6,1.0,3.6,11.6,9.7,19.6,14.0,16.0,7.8,-0.4,4.8
-3.2,-6.4,-1.0,1.2,10.2,7.8,17.2,20.1,19.6,11.2,0.8,5.8
-1.1,-4.8,-2.2,1.3,14.0,10.0,17.6,18.0,19.6,8.0,-1.0,8.1
-3.7,-5.0,1.2,5.7,9.5,13.2,19.2,14.2,15.6,8.0,1.6,4.4
-2.6,-0.2,2.4,8.8,8.8,12.0,20.6,15.6,12.0,9.4,2.6,2.0
-4.0,-7.1,0.6,6.0,10.8,14.8,21.0,14.8,13.2,8.1,1.4,0.8
-5.3,-4.4,-0.2,4.5,12.4,14.2,19.6,13.2,10.9,8.0,-0.4,-0.3
-6.3,-7.6,-0.7,4.0,10.9,14.1,18.0,10.6,10.3,9.6,0.5,-0.5
-7.1,-9.2,1.4,4.8,12.4,15.6,20.4,13.4,13.5,8.8,0.4,1.2
-7.2,-5.1,-1.2,7.8,9.3,17.2,18.4,13.4,15.6,10.6,2.0,0.6
-9.7,0.4,4.6,10.4,12.6,17.4,22.0,15.4,15.7,8.4,2.9,0.6
-4.3,0.8,2.0,11.2,14.4,19.6,19.6,16.0,15.7,6.5,6.0,3.2
-1.8,-2.6,2.8,10.0,17.2,17.8,17.6,17.3,15.2,6.8,8.0,3.8
-3.8,0.4,2.8,8.8,16.4,17.2,17.3,17.6,13.6,10.0,8.5,3.0
-4.4,0.4,0.4,9.6,16.9,21.2,17.4,15.3,14.0,10.5,5.5,-1.8
-5.6,0.4,4.5,8.6,15.8,20.1,18.2,15.6,16.4,10.2,6.4,-4.4
-1.4,2.0,5.6,8.6,13.8,20.0,23.8,16.6,16.0,9.3,6.2,-3.1
-3.6,1.2,3.2,9.0,16.9,18.0,21.6,18.2,16.4,12.0,2.6,-0.7
-5.6,2.4,8.6,9.4,12.4,22.0,22.4,18.8,13.6,11.6,2.8,-0.4
-5.1,2.0,7.2,11.2,10.5,18.5,21.0,15.2,13.2,9.0,5.7,-0.2
-7.8,2.6,8.4,13.2,10.4,19.8,18.4,14.8,14.0,11.0,3.4,-2.6
-2.4,2.2,10.5,11.2,15.4,18.4,22.0,12.6,13.4,10.3,0.8,-3.6
-0.6,-0.8,6.8,12.7,13.6,20.8,19.6,11.0,15.0,11.2,0.3,-4.0
1.4,0.0,4.1,7.3,13.2,17.3,19.6,14.0,13.4,7.2,0.8,-5.9
1.0,0.0,6.8,6.3,11.6,17.3,19.7,13.2,14.8,8.9,1.2,-5.2
0.5,0.0,8.4,0.0,6.0,0.0,19.0,11.1,0.0,7.0,0.0,-1.7
