January,February,March,April,May,June,July,August,September,October,November,December
-4.8,-2.3,2.7,8.0,7.4,16.5,18.4,17.3,16.2,12.4,4.0,-1.6
-5.8,-1.7,0.2,7.0,10.7,16.1,14.6,17.7,17.9,13.3,2.9,1.1
-5.4,2.8,1.5,8.4,11.9,17.1,10.9,16.8,16.0,12.0,8.5,4.6
-6.2,-1.9,2.0,10.0,10.4,17.1,13.1,17.5,19.6,12.8,9.4,5.3
-6.9,0.4,3.4,11.0,6.0,15.8,18.6,19.7,18.5,13.4,10.8,7.6
-3.7,3.8,2.1,7.6,10.0,15.0,20.5,18.5,16.7,12.6,11.4,0.8
-0.1,1.5,4.0,12.2,8.1,14.0,20.4,20.3,14.3,11.0,10.8,-0.4
0.6,0.7,1.2,10.0,9.6,14.9,18.4,19.3,16.1,7.3,7.8,1.2
2.0,-1.4,-2.0,10.7,13.1,15.6,18.9,16.6,15.7,8.4,6.4,1.0
2.8,-1.4,0.8,16.5,11.6,15.7,19.5,15.9,17.7,9.3,5.5,-0.3
3.6,-2.1,0.8,14.0,11.0,16.3,18.4,12.2,17.9,7.5,4.2,-1.7
1.7,-1.3,7.3,9.7,14.5,16.3,19.1,14.1,17.1,10.3,4.0,3.6
0.6,4.5,6.1,10.1,16.1,15.1,19.9,15.9,16.0,9.7,2.4,1.0
1.6,4.3,6.8,6.6,15.2,15.1,19.0,17.0,16.5,7.9,1.5,0.8
1.7,5.3,8.5,6.3,11.7,14.5,18.0,18.2,16.9,5.9,0.9,2.7
0.7,4.7,9.1,6.0,11.1,19.1,16.3,17.4,18.3,4.6,0.6,0.3
1.1,4.4,7.8,9.7,8.3,18.5,15.8,18.9,18.3,4.0,-0.4,1.1
-0.2,4.2,6.3,6.5,15.0,16.6,17.1,21.4,10.1,2.9,0.1,-0.1
-0.1,1.9,8.2,9.2,11.1,14.7,14.2,19.9,8.7,8.4,-0.4,-0.6
4.3,0.1,6.9,8.8,12.1,13.4,15.1,18.4,13.4,9.3,-1.6,-2.3
0.3,4.1,0.7,8.0,14.7,15.9,14.7,19.4,12.8,3.8,-2.3,-3.8
1.8,1.9,1.4,8.7,13.1,19.0,12.2,19.9,13.9,3.7,-1.8,-4.2
-2.8,0.5,2.0,9.5,15.1,18.2,15.9,18.3,14.5,3.7,1.4,-2.7
-4.6,-1.8,4.6,8.3,15.8,17.0,15.2,18.5,14.5,4.7,0.2,-4.6
-3.3,-0.6,5.6,11.8,14.9,17.1,13.9,17.6,13.1,8.1,-1.1,-0.7
-3.5,-2.1,4.7,10.8,16.7,16.8,12.7,18.0,12.9,9.1,0.9,-1.4
-2.4,2.6,10.3,10.0,11.2,16.9,15.0,17.2,13.2,9.2,-1.2,-1.6
-2.0,2.6,10.2,8.1,10.5,18.0,16.3,14.4,13.4,6.8,-1.7,-1.2
-2.9,0.0,5.9,10.4,12.1,20.9,15.6,13.7,12.4,5.1,0.1,-3.1
-2.5,0.0,6.4,10.7,12.6,19.2,14.1,15.0,12.3,4.5,-1.2,-5.1
-2.0,0.0,6.1,0.0,14.9,0.0,15.5,17.6,0.0,4.9,0.0,-2.4
