January,February,March,April,May,June,July,August,September,October,November,December
0.6,4.1,-3.0,7.3,9.4,16.7,20.3,20.7,14.7,10.5,8.4,-1.2
-0.4,4.2,-1.0,6.2,11.6,16.4,22.2,21.6,14.8,9.5,8.2,-1.4
-1.2,2.1,0.7,7.1,13.7,15.7,18.4,20.2,14.7,7.0,10.9,2.1
1.0,-0.8,2.4,8.6,13.5,15.5,18.2,20.1,13.1,7.3,10.6,2.0
-1.5,-0.8,3.3,8.8,13.5,14.0,17.1,19.7,13.6,8.3,11.5,1.0
2.2,0.9,5.3,7.4,14.2,17.1,16.4,21.3,16.9,12.6,11.1,3.2
2.8,2.8,4.5,9.6,14.8,17.7,18.7,20.8,17.4,11.7,11.9,1.9
2.9,2.1,2.6,8.8,14.0,17.0,15.5,20.5,17.1,11.5,11.4,0.4
4.2,4.2,1.0,8.8,12.4,16.1,16.5,18.7,16.2,12.2,11.5,-2.1
2.7,3.2,7.1,8.9,12.5,15.9,18.0,19.5,17.3,11.5,9.6,2.3
1.4,-0.6,7.0,8.1,12.6,19.9,17.3,20.8,16.7,9.8,12.0,2.9
0.4,1.0,7.0,8.5,12.8,18.2,18.7,20.3,15.7,12.5,11.5,-2.5
-1.3,0.8,7.9,7.8,13.7,17.2,18.6,18.3,17.3,10.6,8.4,-3.1
-2.2,-3.1,4.0,5.8,12.8,17.3,18.8,17.5,16.6,8.1,5.9,-4.4
0.1,-4.7,6.6,10.6,9.7,14.0,17.7,14.8,17.8,10.9,4.6,-4.8
1.5,-3.0,5.4,11.7,8.0,14.6,17.6,20.1,16.4,9.5,2.4,-5.1
1.3,-1.6,7.2,11.3,12.1,16.2,16.3,18.9,16.8,9.0,2.1,-2.5
-1.2,3.8,6.6,9.4,10.5,18.8,15.3,20.3,15.8,11.4,-0.3,-5.1
-1.4,3.7,4.2,10.0,14.4,15.6,16.6,19.2,17.1,10.5,2.1,-4.7
-0.8,2.9,2.7,10.7,12.4,17.8,19.0,19.8,16.1,9.5,2.7,-3.5
1.6,1.9,3.9,10.5,12.7,18.6,18.2,19.1,14.4,7.1,1.8,-4.1
1.1,5.0,1.5,11.7,12.6,19.5,18.6,20.4,16.8,4.5,4.4,-0.7
-0.5,4.9,5.0,11.5,14.5,13.6,18.1,20.2,21.1,2.5,5.5,-3.2
-0.9,5.2,1.1,12.4,15.8,13.7,17.4,19.7,14.9,4.4,6.4,-2.1
-1.3,-1.9,5.0,15.7,17.0,15.4,20.3,14.2,7.5,12.3,5.4,-1.0
0.7,-3.5,1.9,15.2,17.6,13.0,17.8,12.5,6.2,12.1,5.3,-2.3
0.1,-4.4,4.5,15.0,17.8,14.9,18.6,11.8,7.6,12.2,5.4,-2.5
0.1,-5.0,6.9,10.5,15.4,17.6,19.7,12.7,9.1,10.1,0.2,0.3
0.3,0.0,10.1,14.0,16.8,18.2,17.2,12.8,9.3,10.2,-1.0,-1.0
-0.6,0.0,8.4,14.0,16.7,15.8,20.9,16.9,11.3,9.2,-0.5,-1.8
3.2,0.0,6.1,0.0,16.4,0.0,19.7,16.9,0.0,6.2,0.0,0.1
