January,February,March,April,May,June,July,August,September,October,November,December
-3.0,6.0,7.0,17.0,27.0,27.0,28.0,31.0,29.0,0.0,12.0,4.0
0.0,7.0,10.0,15.0,25.0,28.0,30.0,30.0,26.0,0.0,11.0,5.0
3.0,14.0,11.0,12.0,26.0,30.0,31.0,27.0,27.0,18.0,11.0,9.0
1.0,5.0,13.0,16.0,26.0,30.0,31.0,19.0,24.0,19.0,10.0,11.0
2.0,6.0,9.0,23.0,24.0,30.0,31.0,16.0,27.0,20.0,8.0,8.0
1.0,9.0,10.0,22.0,21.0,29.0,31.0,24.0,24.0,16.0,7.0,8.0
3.0,10.0,12.0,20.0,21.0,31.0,32.0,30.0,28.0,10.0,10.0,7.0
0.0,9.0,14.0,21.0,19.0,29.0,30.0,30.0,26.0,13.0,12.0,8.0
2.0,13.0,18.0,17.0,25.0,30.0,26.0,29.0,27.0,15.0,9.0,9.0
2.0,6.0,22.0,14.0,26.0,32.0,25.0,30.0,28.0,12.0,9.0,10.0
1.0,7.0,17.0,14.0,26.0,22.0,21.0,31.0,28.0,13.0,5.0,9.0
-2.0,8.0,20.0,15.0,25.0,29.0,23.0,31.0,0.0,14.0,9.0,9.0
1.0,5.0,17.0,15.0,26.0,28.0,32.0,30.0,0.0,15.0,7.0,6.0
0.0,7.0,18.0,18.0,26.0,28.0,26.0,32.0,0.0,18.0,14.0,5.0
3.0,9.0,16.0,14.0,28.0,32.0,26.0,32.0,0.0,18.0,14.0,7.0
-1.0,4.0,14.0,17.0,29.0,32.0,25.0,32.0,0.0,19.0,9.0,6.0
-1.0,7.0,20.0,14.0,28.0,31.0,25.0,34.0,0.0,19.0,10.0,2.0
15.0,5.0,19.0,16.0,24.0,27.0,30.0,33.0,0.0,19.0,9.0,3.0
10.0,6.0,18.0,19.0,25.0,30.0,28.0,35.0,0.0,17.0,9.0,4.0
5.0,11.0,13.0,29.0,24.0,32.0,28.0,34.0,0.0,17.0,5.0,1.0
11.0,8.0,17.0,31.0,21.0,33.0,29.0,33.0,0.0,19.0,6.0,4.0
8.0,7.0,17.0,28.0,27.0,32.0,27.0,32.0,0.0,15.0,9.0,3.0
9.0,7.0,17.0,26.0,24.0,30.0,27.0,33.0,0.0,12.0,6.0,0.0
5.0,9.0,16.0,16.0,25.0,26.0,24.0,33.0,0.0,13.0,7.0,0.0
0.0,11.0,18.0,24.0,27.0,27.0,28.0,31.0,0.0,17.0,8.0,0.0
-3.0,11.0,14.0,25.0,27.0,25.0,29.0,32.0,0.0,18.0,8.0,3.0
0.0,11.0,7.0,21.0,27.0,27.0,30.0,29.0,0.0,15.0,9.0,5.0
0.0,12.0,13.0,18.0,25.0,24.0,25.0,29.0,0.0,17.0,8.0,9.0
1.0,8.0,6.0,19.0,26.0,28.0,31.0,29.0,0.0,17.0,8.0,5.0
9.0,0.0,14.0,23.0,21.0,27.0,30.0,27.0,0.0,15.0,8.0,5.0
5.0,0.0,17.0,0.0,27.0,0.0,30.0,22.0,0.0,15.0,0.0,5.0
