January,February,March,April,May,June,July,August,September,October,November,December
8.0,3.0,8.0,13.0,26.0,29.0,34.0,33.0,28.0,26.0,14.0,2.0
6.0,5.0,11.0,17.0,26.0,28.0,32.0,34.0,24.0,23.0,13.0,4.0
1.0,5.0,14.0,14.0,22.0,28.0,34.0,35.0,30.0,21.0,14.0,1.0
0.0,6.0,13.0,14.0,23.0,27.0,34.0,36.0,29.0,21.0,13.0,5.0
4.0,6.0,12.0,10.0,23.0,27.0,36.0,36.0,27.0,16.0,13.0,4.0
4.0,6.0,13.0,15.0,25.0,27.0,32.0,34.0,27.0,14.0,12.0,8.0
4.0,10.0,15.0,17.0,23.0,28.0,34.0,36.0,27.0,12.0,11.0,8.0
5.0,8.0,16.0,16.0,24.0,27.0,28.0,28.0,24.0,11.0,14.0,4.0
7.0,10.0,20.0,14.0,23.0,21.0,33.0,32.0,28.0,12.0,13.0,7.0
6.0,6.0,21.0,15.0,29.0,20.0,34.0,32.0,25.0,16.0,11.0,10.0
5.0,9.0,20.0,17.0,17.0,20.0,30.0,32.0,25.0,10.0,15.0,7.0
5.0,6.0,20.0,17.0,20.0,23.0,32.0,34.0,26.0,12.0,12.0,7.0
7.0,5.0,16.0,21.0,23.0,22.0,30.0,31.0,27.0,16.0,10.0,9.0
3.0,4.0,24.0,18.0,17.0,30.0,30.0,31.0,15.0,13.0,12.0,6.0
3.0,2.0,18.0,17.0,25.0,29.0,35.0,32.0,21.0,16.0,10.0,7.0
5.0,2.0,23.0,12.0,25.0,27.0,32.0,31.0,19.0,12.0,6.0,2.0
4.0,2.0,19.0,15.0,27.0,31.0,32.0,29.0,22.0,18.0,6.0,-1.0
5.0,4.0,16.0,21.0,17.0,27.0,33.0,32.0,20.0,16.0,9.0,-3.0
1.0,6.0,16.0,13.0,22.0,29.0,32.0,29.0,22.0,15.0,9.0,2.0
7.0,5.0,19.0,19.0,19.0,24.0,26.0,32.0,22.0,14.0,7.0,4.0
8.0,6.0,20.0,20.0,20.0,24.0,28.0,32.0,19.0,17.0,11.0,8.0
3.0,8.0,23.0,24.0,24.0,31.0,30.0,34.0,24.0,15.0,11.0,7.0
4.0,4.0,22.0,22.0,25.0,34.0,31.0,32.0,27.0,12.0,10.0,6.0
5.0,7.0,22.0,22.0,24.0,32.0,32.0,32.0,25.0,14.0,5.0,4.0
7.0,13.0,19.0,15.0,29.0,32.0,33.0,23.0,26.0,15.0,12.0,2.0
8.0,11.0,19.0,25.0,26.0,36.0,35.0,33.0,21.0,16.0,12.0,3.0
5.0,12.0,21.0,28.0,29.0,28.0,34.0,30.0,27.0,11.0,6.0,2.0
10.0,7.0,17.0,27.0,25.0,33.0,31.0,30.0,24.0,9.0,8.0,5.0
6.0,0.0,22.0,29.0,27.0,33.0,33.0,29.0,26.0,12.0,9.0,2.0
5.0,0.0,22.0,26.0,22.0,39.0,32.0,29.0,24.0,11.0,6.0,3.0
6.0,0.0,19.0,0.0,26.0,0.0,32.0,28.0,0.0,10.0,0.0,6.0
