January,February,March,April,May,June,July,August,September,October,November,December
8.0,5.0,11.0,23.0,22.0,16.0,33.0,34.0,24.0,19.0,15.0,1.0
5.0,6.0,9.0,25.0,29.0,23.0,31.0,39.0,27.0,17.0,14.0,3.0
4.0,6.0,12.0,26.0,23.0,25.0,27.0,33.0,23.0,20.0,10.0,1.0
3.0,6.0,6.0,24.0,24.0,23.0,31.0,31.0,27.0,21.0,10.0,4.0
0.0,16.0,5.0,21.0,30.0,23.0,28.0,32.0,21.0,21.0,7.0,4.0
-1.0,6.0,9.0,26.0,28.0,21.0,29.0,32.0,25.0,20.0,12.0,4.0
-4.0,15.0,11.0,27.0,29.0,31.0,29.0,30.0,19.0,20.0,17.0,5.0
-4.0,9.0,9.0,23.0,25.0,25.0,32.0,30.0,24.0,23.0,11.0,5.0
1.0,7.0,12.0,19.0,27.0,27.0,32.0,30.0,26.0,23.0,11.0,2.0
2.0,10.0,12.0,16.0,21.0,17.0,33.0,30.0,19.0,22.0,10.0,2.0
6.0,5.0,14.0,22.0,16.0,22.0,32.0,32.0,25.0,22.0,8.0,4.0
6.0,8.0,14.0,24.0,17.0,20.0,32.0,31.0,24.0,21.0,12.0,7.0
4.0,6.0,11.0,21.0,19.0,23.0,32.0,32.0,19.0,20.0,13.0,5.0
4.0,8.0,15.0,16.0,22.0,22.0,33.0,25.0,17.0,16.0,13.0,2.0
4.0,9.0,10.0,17.0,18.0,25.0,31.0,33.0,25.0,13.0,12.0,2.0
4.0,8.0,11.0,22.0,18.0,24.0,30.0,30.0,22.0,12.0,12.0,4.0
5.0,11.0,12.0,23.0,20.0,26.0,30.0,24.0,25.0,14.0,13.0,6.0
1.0,12.0,17.0,20.0,18.0,30.0,33.0,20.0,26.0,18.0,10.0,7.0
4.0,8.0,14.0,19.0,21.0,29.0,35.0,25.0,16.0,12.0,6.0,9.0
2.0,10.0,13.0,12.0,19.0,29.0,32.0,30.0,21.0,10.0,8.0,4.0
2.0,11.0,13.0,14.0,25.0,31.0,34.0,27.0,24.0,17.0,2.0,4.0
4.0,12.0,16.0,12.0,23.0,32.0,35.0,28.0,25.0,16.0,1.0,5.0
2.0,7.0,20.0,15.0,24.0,23.0,33.0,27.0,22.0,15.0,0.0,6.0
8.0,4.0,20.0,15.0,25.0,18.0,32.0,29.0,22.0,8.0,-1.0,8.0
6.0,8.0,17.0,13.0,25.0,31.0,32.0,28.0,20.0,6.0,4.0,7.0
2.0,8.0,24.0,18.0,27.0,34.0,33.0,34.0,23.0,5.0,6.0,8.0
8.0,10.0,18.0,21.0,25.0,31.0,34.0,31.0,21.0,11.0,7.0,7.0
4.0,9.0,13.0,19.0,30.0,30.0,36.0,25.0,23.0,11.0,8.0,1.0
5.0,0.0,12.0,22.0,30.0,30.0,33.0,27.0,21.0,15.0,10.0,2.0
6.0,0.0,10.0,22.0,26.0,30.0,31.0,24.0,14.0,16.0,8.0,0.0
10.0,0.0,17.0,0.0,16.0,0.0,31.0,21.0,0.0,17.0,0.0,2.0
