January,February,March,April,May,June,July,August,September,October,November,December
1.4,-6.1,2.9,2.6,13.9,9.4,18.0,14.8,9.7,10.9,8.6,-0.7
1.1,-7.6,3.9,3.1,13.4,18.2,18.5,17.8,10.2,11.8,11.6,0.7
-2.9,-6.4,2.0,2.9,12.0,16.4,19.4,19.1,13.5,11.0,7.8,0.8
-3.9,-5.4,5.1,7.1,12.2,13.0,20.0,18.8,17.1,13.0,7.9,-0.7
-2.0,-0.4,2.3,9.4,12.2,14.4,19.5,14.4,17.0,14.5,6.0,-2.5
-1.0,1.3,-2.8,6.2,10.2,18.6,19.9,14.7,17.8,14.7,5.4,-1.6
-1.2,-0.5,-0.6,4.5,9.5,20.0,16.0,16.0,14.8,15.1,9.2,0.7
1.0,-1.4,-2.6,5.8,10.3,19.9,20.9,14.2,15.4,14.9,5.2,2.4
2.0,-3.6,-1.8,7.4,10.1,18.2,18.2,17.5,14.4,10.6,5.1,2.9
1.9,0.0,1.3,6.7,12.8,20.0,21.6,19.0,13.5,8.3,6.9,-1.6
1.9,1.3,1.0,6.2,12.9,18.7,21.0,19.3,13.5,8.1,7.7,-0.6
2.0,0.9,1.4,1.8,12.6,18.3,19.4,19.0,10.6,6.5,5.0,-1.7
1.2,-2.0,1.5,3.7,11.6,18.6,22.1,16.3,14.5,5.8,3.1,-1.0
-0.2,-3.0,-1.3,6.7,11.9,20.4,23.1,16.2,13.6,5.7,8.6,-5.0
-0.7,-2.5,3.3,4.6,12.3,17.9,21.9,15.4,11.3,6.4,9.2,-1.5
-2.9,1.5,-0.2,5.5,14.7,17.4,20.6,13.5,17.1,8.9,8.8,-6.2
-0.6,2.7,3.4,8.4,14.0,14.3,22.5,13.0,16.1,8.1,7.9,-6.7
-1.8,3.3,3.1,8.5,8.7,13.5,22.2,16.0,14.4,6.0,7.9,-6.5
-3.6,3.4,8.1,7.2,12.4,13.5,20.2,16.7,13.8,6.3,7.9,-7.0
-5.1,4.6,8.1,6.7,9.6,11.0,19.8,18.5,12.9,3.0,7.2,-2.4
-3.7,-0.6,9.0,11.5,13.5,15.0,22.0,18.5,11.0,2.6,5.6,0.8
-4.9,2.1,9.6,8.3,15.2,14.6,21.0,18.4,10.5,1.3,4.8,0.8
-3.3,2.8,10.2,13.5,10.3,14.8,18.7,19.6,10.9,3.9,5.0,2.6
-6.3,3.2,6.9,11.0,11.2,11.8,17.8,20.3,11.0,7.2,1.0,4.5
-0.3,3.6,8.1,11.5,13.5,14.9,18.0,21.6,11.2,6.1,-0.8,5.1
-1.7,4.5,8.5,13.6,16.3,16.4,13.9,20.3,12.1,7.1,-1.0,0.8
-3.0,1.1,6.2,13.2,14.3,16.6,15.6,21.4,10.9,1.3,-3.2,-3.0
-3.4,5.9,5.4,12.9,13.4,17.7,12.4,20.0,9.1,1.2,-0.1,-4.6
-5.2,0.0,6.4,14.7,16.6,19.2,16.7,13.0,6.7,2.7,0.6,-4.2
-0.1,0.0,6.7,14.6,14.9,18.4,15.6,15.4,6.5,2.4,-0.8,-4.5
-1.6,0.0,5.1,0.0,16.7,0.0,12.0,14.4,0.0,7.2,0.0,-3.6
