January,February,March,April,May,June,July,August,September,October,November,December
4.5,3.3,11.3,18.5,24.9,29.4,30.1,32.5,17.7,18.5,9.3,7.7
3.7,-0.5,11.3,12.8,23.4,29.3,29.3,34.9,26.5,23.1,11.4,8.7
5.5,3.7,14.1,10.6,23.7,28.7,28.5,35.7,24.5,18.3,9.7,12.0
4.3,5.9,10.9,15.6,26.9,30.9,24.1,37.5,26.1,21.3,12.5,9.5
7.1,7.7,13.5,19.2,29.3,31.1,29.0,37.3,25.4,14.1,8.9,8.1
3.0,7.3,13.3,18.1,30.9,29.7,29.7,37.5,25.3,15.7,8.5,7.8
4.1,2.9,13.3,6.9,31.3,31.5,30.3,39.0,26.9,15.1,10.1,3.4
1.0,2.4,14.3,12.8,30.9,31.9,31.8,37.7,20.0,15.5,6.1,3.3
2.9,6.1,13.3,12.8,28.5,31.9,28.8,38.9,20.8,19.9,10.5,5.5
2.6,2.3,16.2,8.0,24.7,34.1,30.7,40.1,27.1,19.9,10.5,5.8
2.4,5.5,17.7,13.9,27.7,34.5,33.7,40.7,22.2,19.1,9.0,6.1
1.0,4.3,15.9,12.1,26.1,36.1,30.7,38.9,25.5,19.9,7.9,10.1
-0.7,4.5,16.2,20.6,25.1,37.1,33.3,37.8,26.3,19.3,8.9,6.9
3.9,4.1,14.3,21.6,20.5,34.3,27.7,35.7,27.3,18.5,7.2,11.7
2.3,1.9,12.7,18.1,21.4,34.3,29.9,30.5,26.9,16.2,7.9,9.7
3.1,4.1,13.7,23.4,22.5,35.8,31.4,33.3,26.9,13.3,7.7,7.0
3.0,2.9,16.5,24.5,23.4,31.3,30.7,33.3,28.3,13.3,10.5,7.3
5.8,2.3,16.9,24.5,26.3,32.5,33.3,32.5,28.5,12.1,9.1,2.9
4.1,3.9,14.6,15.6,27.8,33.1,32.9,35.3,29.3,14.1,7.5,4.5
2.3,3.8,19.2,14.6,21.7,34.5,34.1,32.9,29.7,8.9,7.8,2.1
1.0,9.5,17.4,18.8,23.4,33.5,34.1,27.5,28.3,11.4,7.9,5.3
3.7,8.0,13.5,23.0,26.9,33.1,32.6,33.5,27.7,10.3,8.6,7.9
7.0,7.7,14.6,22.9,28.5,33.3,32.2,34.3,20.5,8.6,10.1,3.3
10.6,5.9,19.2,26.7,28.3,30.9,24.9,33.0,25.3,9.7,11.9,3.8
9.0,10.3,20.6,24.5,29.3,32.5,31.7,29.3,23.1,5.3,11.7,-1.0
9.0,10.1,20.6,24.2,29.3,31.7,32.7,34.1,21.8,4.9,10.3,3.7
4.9,9.5,19.5,23.1,28.7,32.1,33.7,32.5,22.3,8.1,10.5,1.8
13.3,11.1,19.5,21.7,29.3,30.3,32.6,31.7,22.3,9.3,7.8,1.3
5.5,0.0,18.1,23.7,27.9,29.4,31.3,20.9,21.5,5.7,9.7,2.3
4.1,0.0,18.8,24.5,29.7,30.5,33.1,30.1,20.7,6.9,7.5,4.3
5.8,0.0,19.9,0.0,30.1,0.0,27.3,25.3,0.0,5.7,0.0,5.7
