January,February,March,April,May,June,July,August,September,October,November,December
-2.5,-1.0,5.1,11.6,12.4,18.1,20.0,17.0,13.0,15.3,4.8,4.7
-2.1,-3.1,6.3,9.9,12.4,18.9,19.4,17.4,14.8,15.5,8.0,4.1
1.7,-5.7,3.0,7.9,10.1,20.5,18.8,20.5,17.2,14.9,7.3,-1.0
-1.3,-3.9,7.1,12.0,10.7,12.9,18.5,18.3,17.2,14.8,8.7,-1.8
-1.8,-6.6,5.4,10.6,12.4,13.4,18.4,20.3,15.7,12.7,8.6,-2.4
1.7,-7.6,4.4,10.6,11.6,15.1,18.1,18.4,16.5,14.8,5.1,-0.6
-1.0,0.1,4.1,11.1,11.4,17.8,17.4,19.2,15.8,15.2,2.6,-1.9
-0.9,-2.0,3.0,6.3,12.2,18.9,16.4,16.4,14.7,12.5,1.1,-1.0
-0.3,-5.0,4.3,1.4,10.7,17.3,17.2,18.1,14.2,13.7,3.2,-3.7
-1.9,-2.6,1.1,6.7,11.9,16.1,18.8,15.7,14.4,12.4,5.6,-5.0
0.6,-4.5,1.3,4.1,14.1,14.9,17.5,13.7,13.5,12.4,7.9,-3.0
-1.5,-5.5,13.0,3.1,15.3,11.8,15.5,18.5,14.0,11.8,7.9,-4.4
-2.6,-3.3,7.0,8.8,9.7,12.7,16.7,16.4,13.9,12.6,7.7,-5.5
-1.8,-3.5,6.1,9.1,8.2,13.6,16.7,18.6,11.3,12.1,5.6,-2.6
-4.8,-5.4,7.7,9.3,8.6,12.4,15.7,19.7,9.4,8.4,1.8,-1.1
-7.2,2.4,4.4,9.1,8.6,15.5,16.0,19.1,14.7,7.6,0.2,-2.5
-6.8,-2.6,5.7,7.8,10.2,15.3,13.4,18.0,14.6,7.5,-0.8,-1.6
-5.6,-2.0,7.6,7.8,8.0,17.0,14.5,18.2,11.3,9.9,0.4,-0.2
-2.8,3.2,8.0,7.2,6.9,19.9,17.5,18.2,14.6,8.0,3.5,-1.1
-4.9,0.0,5.2,8.6,10.7,19.4,19.8,19.0,8.6,7.0,4.2,-5.1
0.1,-1.6,8.2,6.9,11.3,18.6,17.8,24.4,11.4,8.8,3.8,-3.4
-0.8,-1.7,5.4,6.2,8.9,19.2,16.6,22.1,10.5,8.0,3.6,-3.9
-1.4,-1.3,5.0,6.8,13.8,18.1,16.7,20.1,14.0,8.5,5.5,-3.4
-3.0,3.0,5.8,5.4,19.3,17.4,14.9,19.5,14.1,7.4,6.1,-4.5
-2.3,3.4,9.5,6.3,16.7,19.4,16.0,21.7,13.4,6.2,5.1,1.6
-2.9,1.2,8.4,8.8,16.1,19.7,16.6,18.9,14.3,7.3,6.6,1.7
-5.0,1.0,5.9,9.1,14.5,15.0,17.0,15.0,14.2,10.3,6.9,-1.0
-2.1,-0.5,12.1,11.3,14.0,20.2,18.0,12.2,10.5,3.6,7.7,-0.1
0.6,1.5,8.5,13.5,11.7,20.0,19.8,13.9,13.6,1.2,6.5,-1.0
-3.5,0.0,9.8,12.7,10.7,20.6,19.7,15.9,14.3,-1.1,6.4,-1.5
-3.1,0.0,12.5,0.0,13.8,0.0,18.3,14.1,0.0,2.6,0.0,-1.7
