January,February,March,April,May,June,July,August,September,October,November,December
1.0,5.0,7.0,20.0,27.0,27.0,32.0,34.0,20.0,22.0,17.0,8.0
1.0,5.0,8.0,22.0,28.0,21.0,33.0,34.0,25.0,20.0,11.0,8.0
3.0,3.0,3.0,21.0,20.0,17.0,30.0,34.0,26.0,22.0,6.0,10.0
2.0,5.0,11.0,17.0,22.0,26.0,28.0,31.0,17.0,16.0,7.0,8.0
4.0,7.0,17.0,17.0,22.0,25.0,30.0,31.0,26.0,20.0,12.0,8.0
2.0,7.0,11.0,19.0,23.0,20.0,31.0,28.0,28.0,21.0,10.0,13.0
3.0,8.0,10.0,13.0,26.0,27.0,31.0,31.0,25.0,18.0,11.0,11.0
8.0,9.0,7.0,18.0,29.0,27.0,31.0,28.0,23.0,22.0,10.0,8.0
8.0,9.0,7.0,20.0,25.0,23.0,30.0,28.0,25.0,22.0,9.0,0.0
3.0,11.0,10.0,19.0,27.0,21.0,29.0,23.0,23.0,19.0,9.0,0.0
5.0,10.0,16.0,16.0,29.0,24.0,30.0,28.0,24.0,17.0,9.0,1.0
6.0,10.0,11.0,22.0,29.0,25.0,31.0,28.0,24.0,16.0,11.0,0.0
6.0,13.0,16.0,18.0,25.0,27.0,29.0,30.0,23.0,15.0,15.0,6.0
4.0,13.0,20.0,13.0,24.0,31.0,31.0,32.0,19.0,14.0,12.0,0.0
0.0,7.0,17.0,15.0,19.0,29.0,31.0,33.0,25.0,16.0,6.0,2.0
-2.0,7.0,15.0,14.0,24.0,27.0,28.0,33.0,18.0,18.0,7.0,-2.0
0.0,9.0,11.0,19.0,24.0,25.0,29.0,34.0,21.0,19.0,3.0,-3.0
2.0,14.0,17.0,15.0,25.0,28.0,25.0,23.0,20.0,19.0,3.0,-2.0
4.0,12.0,18.0,16.0,28.0,28.0,28.0,31.0,16.0,19.0,8.0,-3.0
3.0,14.0,18.0,9.0,26.0,32.0,23.0,24.0,21.0,18.0,4.0,1.0
2.0,11.0,14.0,10.0,17.0,30.0,32.0,32.0,23.0,18.0,1.0,1.0
1.0,14.0,21.0,19.0,26.0,29.0,31.0,32.0,19.0,14.0,3.0,1.0
5.0,13.0,21.0,18.0,26.0,32.0,32.0,32.0,15.0,15.0,7.0,5.0
3.0,10.0,20.0,22.0,28.0,34.0,31.0,32.0,19.0,16.0,5.0,-1.0
5.0,7.0,19.0,14.0,30.0,34.0,32.0,33.0,18.0,15.0,1.0,-2.0
6.0,5.0,17.0,24.0,31.0,32.0,32.0,34.0,22.0,14.0,4.0,2.0
6.0,6.0,21.0,20.0,30.0,32.0,31.0,34.0,22.0,16.0,3.0,5.0
4.0,3.0,14.0,24.0,33.0,24.0,31.0,34.0,22.0,13.0,4.0,2.0
6.0,0.0,12.0,21.0,34.0,32.0,33.0,34.0,20.0,13.0,8.0,-1.0
9.0,0.0,11.0,21.0,34.0,32.0,36.0,27.0,16.0,15.0,3.0,10.0
8.0,0.0,22.0,0.0,29.0,0.0,34.0,25.0,0.0,14.0,0.0,6.0
