January,February,March,April,May,June,July,August,September,October,November,December
-3.8,2.6,3.8,9.6,6.9,17.5,13.0,19.7,16.8,13.9,2.0,-0.4
-5.2,3.4,1.2,7.5,5.8,18.6,14.2,20.9,13.3,12.2,2.1,0.2
-3.0,4.0,2.6,9.5,8.8,18.1,13.5,20.1,13.3,14.5,3.5,-3.0
-5.1,4.4,8.0,10.5,10.1,18.5,17.8,21.0,10.6,10.7,3.5,-3.1
2.2,3.2,7.7,8.7,9.4,16.3,19.4,23.5,14.8,10.6,7.8,-3.7
0.1,3.4,4.7,6.9,9.0,16.0,17.7,19.3,14.3,13.3,7.2,-1.8
-7.5,4.7,8.6,6.6,10.6,13.2,19.3,17.7,17.9,5.4,8.1,-3.7
-7.7,4.0,6.1,6.3,9.9,9.8,19.5,17.8,16.0,8.2,6.8,-0.9
-6.6,1.2,4.4,8.1,11.8,12.4,17.9,18.6,16.6,6.0,5.7,0.0
-5.6,3.1,8.9,9.6,12.8,15.4,19.6,17.3,14.2,6.8,3.4,-4.4
-3.8,2.9,4.1,9.6,13.6,15.9,18.1,16.2,13.9,9.8,2.7,-2.4
-6.4,2.7,2.9,10.0,12.9,18.9,17.1,15.4,11.2,10.9,5.0,0.7
-0.8,1.8,3.1,10.9,14.6,19.6,21.9,13.7,9.9,9.6,6.4,1.8
-1.9,2.7,5.4,10.2,15.8,20.5,18.4,17.1,12.5,8.7,7.3,-0.8
0.1,2.6,5.4,12.1,15.0,18.0,16.4,16.0,11.1,7.6,4.2,-3.1
-4.1,3.4,4.7,8.7,11.8,20.2,15.2,18.2,13.1,9.5,1.7,-2.5
1.4,0.9,4.3,7.3,13.3,22.6,15.1,16.9,10.2,8.0,1.1,-3.7
-0.7,0.3,6.9,8.6,19.6,16.6,19.5,19.1,10.1,6.6,0.1,-5.2
-4.6,1.5,6.6,5.7,13.8,17.6,20.5,17.1,12.0,7.2,-0.8,-6.7
-5.9,-0.8,5.8,6.2,12.6,18.6,19.2,16.4,12.0,6.7,-1.0,-4.1
-3.6,2.6,12.7,4.0,15.1,18.9,19.7,15.3,7.7,9.7,-1.5,-5.9
-2.9,1.4,12.1,3.6,12.4,18.4,19.2,13.4,7.1,11.8,-0.8,-4.5
-5.4,6.2,10.0,6.9,13.2,22.6,19.2,14.3,9.7,6.0,2.0,-4.7
-2.6,7.8,10.6,12.4,13.6,20.8,17.7,15.5,13.5,7.4,1.9,-0.5
-4.0,2.7,10.1,12.5,17.0,17.8,15.4,19.1,12.0,7.8,4.8,-4.2
-5.2,-0.3,9.3,10.3,15.0,15.6,12.2,18.3,11.4,7.0,4.8,-1.1
-5.7,1.2,8.4,9.7,14.7,19.6,17.7,19.2,9.4,6.9,-1.5,0.6
-5.8,7.0,5.1,8.1,15.6,15.0,15.2,20.1,10.3,3.9,-3.5,0.5
-4.6,0.0,7.5,6.5,16.7,14.8,17.7,16.6,14.1,2.4,1.6,-1.4
-4.8,0.0,7.2,5.0,17.8,14.2,18.7,16.2,14.2,10.8,1.8,-2.0
2.0,0.0,8.5,0.0,18.0,0.0,18.8,18.5,0.0,3.7,0.0,-3.9
