January,February,March,April,May,June,July,August,September,October,November,December
-2.6,-1.4,1.9,3.5,13.8,11.6,13.7,17.0,16.5,14.7,11.6,0.4
0.4,2.2,0.3,6.0,13.3,10.1,15.0,18.1,15.0,13.7,13.2,-0.7
0.2,1.7,2.2,7.9,11.9,16.2,17.4,17.8,12.4,13.9,11.0,-1.2
-0.6,0.0,0.7,7.8,10.2,15.8,17.9,19.5,13.8,13.1,8.4,0.6
-1.1,-2.2,-0.2,7.4,14.0,14.9,18.4,22.9,19.8,11.8,7.7,-0.8
2.1,0.8,5.5,8.1,13.3,12.7,19.9,19.4,19.9,12.9,8.9,-2.2
1.3,-0.3,5.1,9.7,13.8,13.7,18.1,19.7,18.8,14.0,8.2,0.1
-0.5,-0.8,8.0,6.5,13.6,13.7,18.5,21.4,18.5,14.2,9.1,-2.4
0.9,-0.8,8.9,6.3,12.0,13.9,18.1,18.2,17.1,14.5,8.8,-2.0
0.6,-3.4,7.7,6.4,14.4,13.5,19.9,16.8,14.2,8.2,5.9,-1.0
-1.0,-3.0,7.5,8.1,12.4,12.4,17.5,16.5,12.6,5.6,9.8,-1.5
-2.7,-1.8,6.8,10.5,12.2,11.9,18.8,17.8,10.6,5.2,6.1,-1.4
0.4,0.5,7.0,10.2,10.3,11.5,20.1,18.8,10.7,6.1,6.8,-0.2
2.1,-1.5,3.3,10.2,8.7,16.2,16.5,18.4,10.8,10.0,4.9,0.5
1.3,-2.1,2.0,8.4,12.3,20.4,16.7,17.1,14.2,11.0,6.9,0.4
1.2,-1.9,-0.8,13.2,11.5,18.3,17.2,18.0,12.3,9.0,5.6,0.0
3.1,-0.6,2.3,11.3,11.2,19.7,21.9,16.0,11.8,5.8,8.8,-1.4
-2.0,0.4,0.5,11.0,9.1,19.3,19.8,15.4,11.4,6.4,8.6,-1.8
-2.0,-1.2,0.4,11.7,11.7,19.0,19.3,16.8,12.0,5.2,7.3,-3.5
0.1,-1.7,0.1,9.4,10.8,21.0,19.4,17.5,12.9,10.4,7.3,0.6
0.7,0.4,5.5,9.9,8.7,18.0,19.4,16.3,9.5,11.5,3.3,0.8
-0.1,-1.4,3.8,10.1,8.9,17.4,17.9,13.3,11.4,13.7,1.6,4.5
0.0,-2.9,2.8,10.7,10.3,15.3,18.3,16.7,11.3,13.0,5.3,5.2
1.3,-0.1,6.5,8.5,7.4,11.9,21.1,15.5,9.3,13.7,4.8,5.4
2.4,-0.6,5.0,8.6,7.2,14.6,19.3,16.7,15.4,13.4,3.8,7.8
-2.1,0.7,2.9,11.1,5.1,15.8,19.9,15.6,12.5,11.1,2.7,3.3
-3.3,2.6,3.6,12.5,9.0,12.5,20.0,16.2,14.6,13.2,-1.1,2.0
-0.8,3.4,2.5,12.3,13.5,11.3,21.9,14.2,18.1,11.3,-4.4,0.8
-2.9,0.0,2.3,13.8,11.6,11.1,17.1,14.2,16.3,12.1,-2.2,3.8
-0.7,0.0,6.6,13.6,10.4,10.2,17.2,16.0,14.6,12.2,0.2,2.0
-1.2,0.0,6.5,0.0,10.4,0.0,14.8,14.9,0.0,11.9,0.0,0.0
