January,February,March,April,May,June,July,August,September,October,November,December
-7.6,4.5,9.7,6.0,10.8,14.0,18.5,20.0,16.0,13.2,6.1,0.3
-2.8,3.8,7.2,9.4,9.6,16.4,17.2,18.4,15.0,14.2,6.4,1.3
-1.5,2.8,4.5,6.4,9.6,15.8,18.0,20.0,17.6,8.7,10.1,-0.5
-1.9,2.4,6.8,6.4,11.6,15.8,18.8,19.6,18.0,7.5,11.4,-0.4
-0.4,2.4,3.2,5.8,11.6,15.6,19.6,20.0,17.3,2.7,11.1,-0.3
0.4,1.4,0.6,4.0,8.6,14.9,17.2,18.9,17.4,4.8,8.7,0.1
-1.8,2.2,6.1,1.8,10.1,15.3,16.4,18.6,17.2,6.3,7.0,-0.6
-0.4,-2.0,6.4,4.0,14.4,15.0,18.0,16.0,15.2,13.0,5.9,-2.4
-0.4,-3.2,6.0,6.4,10.6,14.8,18.2,15.4,13.6,11.8,6.7,-3.6
-2.0,-1.5,6.2,8.4,13.2,16.6,18.0,16.6,16.6,9.5,4.9,-1.6
0.6,-1.5,5.6,8.8,12.4,15.3,18.2,16.0,18.2,11.2,2.7,0.5
0.8,-2.8,5.7,7.2,10.2,16.0,19.1,20.6,16.5,9.1,8.1,2.9
3.6,-0.8,8.4,9.3,9.2,14.5,18.2,20.6,14.9,10.3,8.4,1.7
2.1,-0.4,3.2,7.4,12.5,12.4,16.0,16.0,14.0,8.0,7.6,1.5
0.9,0.4,2.8,6.2,10.0,10.2,14.4,15.8,13.2,10.5,4.7,2.3
2.6,-3.6,7.0,6.1,15.2,12.8,14.2,15.0,11.6,8.7,5.1,3.4
1.2,-2.7,4.9,9.3,13.9,13.2,17.8,15.0,8.8,11.5,4.8,2.8
1.4,-2.8,6.4,6.2,13.2,15.8,16.6,13.2,12.4,8.6,0.2,5.2
0.9,-4.0,2.0,6.4,12.7,15.6,17.0,14.0,11.7,5.2,-0.3,0.4
0.9,-2.6,2.8,5.4,13.8,16.8,15.6,18.2,8.0,5.7,0.8,-0.2
0.4,1.2,1.3,7.8,13.2,19.7,16.7,19.6,10.5,9.9,-0.2,-0.9
1.6,0.4,3.6,7.4,12.4,19.4,11.4,15.2,8.2,11.6,0.5,0.5
-0.2,1.6,2.3,7.6,12.8,20.2,11.8,15.6,10.1,12.1,-1.4,-0.5
-1.7,2.4,4.4,10.4,13.2,21.2,16.4,14.1,8.7,10.2,-1.3,-0.6
0.8,0.8,1.3,8.9,15.4,20.5,17.2,15.0,8.7,9.1,-2.3,-0.4
2.5,0.9,-2.0,10.0,13.6,19.6,19.1,16.0,8.8,8.0,-4.2,-3.4
0.8,2.8,4.4,9.2,15.6,21.6,17.2,16.4,8.7,8.3,-5.4,-6.7
5.4,5.4,6.8,8.4,17.0,17.6,17.4,17.8,8.8,10.2,-3.6,-6.9
0.6,7.3,6.8,10.8,19.2,20.4,18.8,16.9,5.2,12.3,0.3,-1.7
0.4,0.0,8.4,11.2,15.6,17.2,19.2,16.8,11.6,7.1,0.3,-3.6
1.9,0.0,5.4,0.0,14.2,0.0,18.6,21.2,0.0,5.2,0.0,-5.4
