January,February,March,April,May,June,July,August,September,October,November,December
0.2,-5.9,-1.5,8.0,13.3,17.1,14.1,17.5,13.3,12.1,4.5,4.1
-1.4,-6.7,2.1,6.9,12.3,19.3,13.9,17.3,11.9,14.9,6.3,5.5
0.0,-7.1,5.3,8.0,13.7,15.9,15.3,19.7,12.5,14.3,5.2,3.3
-0.6,-0.7,2.7,6.9,11.7,18.3,13.3,20.6,10.3,13.7,2.6,3.2
1.6,-0.2,-0.7,4.2,11.4,18.3,12.6,22.1,10.3,10.1,1.3,3.3
-1.1,-1.1,0.5,5.0,13.8,18.9,15.3,22.1,15.1,6.1,0.5,0.7
0.1,-4.7,4.5,2.2,12.9,17.3,15.6,19.7,12.7,3.8,4.7,-3.2
-1.6,-6.3,4.9,-0.8,15.3,18.5,16.3,18.3,15.7,6.9,0.5,-3.3
-0.5,-3.5,2.7,1.3,14.6,17.7,18.8,20.9,15.3,7.7,2.4,-2.9
-4.2,-5.9,3.1,4.6,16.1,20.7,18.1,18.3,15.3,6.9,2.9,1.4
-5.3,-5.5,3.1,4.6,15.4,18.9,17.8,20.1,9.3,8.5,-0.6,2.9
-7.3,-3.9,5.0,6.9,14.1,22.2,21.6,22.9,7.7,12.5,4.6,1.8
-7.8,-4.3,8.5,5.0,12.5,21.0,19.2,20.1,14.1,12.9,0.9,1.3
-5.2,-3.3,3.9,5.8,10.1,19.9,23.0,21.7,12.9,13.3,-0.1,-0.3
-4.3,-4.7,1.5,8.0,7.9,19.7,21.6,18.9,13.7,5.7,2.9,1.0
-4.5,-5.9,-1.6,9.9,6.9,18.7,22.3,15.9,10.9,2.5,4.6,-1.5
-3.5,-4.9,-1.8,11.0,8.1,18.1,20.2,18.5,12.5,2.5,4.9,-1.3
-2.5,-5.4,-0.1,7.7,8.9,18.3,18.5,19.1,11.1,1.9,2.9,-2.5
-2.7,-5.9,-0.8,8.8,12.1,16.9,18.5,18.7,11.3,2.5,1.3,-1.5
-2.7,-4.7,-0.8,7.7,12.5,14.5,20.9,17.1,11.3,6.9,2.3,-2.7
-2.5,-4.3,0.4,8.4,11.3,16.7,19.5,19.7,11.3,7.7,5.3,-0.5
-0.1,-4.3,2.6,6.9,10.7,17.5,18.8,16.5,11.9,6.1,4.5,2.1
1.0,-4.3,-0.3,7.5,9.5,19.7,20.2,18.9,14.6,4.1,6.1,0.5
2.1,-2.4,0.9,6.5,11.9,18.9,19.2,20.8,13.8,3.3,7.7,-6.6
-2.1,-1.5,1.8,9.7,12.2,18.7,16.9,19.8,11.7,-1.7,8.1,-8.4
-1.7,-3.5,3.0,9.7,14.1,17.6,18.1,19.3,6.9,-1.9,7.7,-5.9
-2.3,-4.0,3.4,11.9,16.0,16.5,18.5,16.5,7.0,0.9,5.1,-4.7
-1.9,-1.5,6.5,14.9,17.3,18.7,19.1,17.7,7.7,1.3,4.1,0.0
-2.5,0.0,5.4,14.1,15.1,18.1,18.9,18.9,13.3,2.3,3.7,-0.1
-3.5,0.0,6.5,13.7,16.0,17.5,17.5,16.5,13.9,2.3,1.3,-0.3
-0.3,0.0,8.8,0.0,17.3,0.0,17.5,15.7,0.0,4.2,0.0,1.7
