January,February,March,April,May,June,July,August,September,October,November,December
3.0,5.0,12.0,22.0,23.0,28.0,29.0,29.0,25.0,18.0,15.0,9.0
0.0,5.0,7.0,22.0,20.0,29.0,27.0,30.0,28.0,19.0,12.0,5.0
2.0,6.0,9.0,20.0,14.0,26.0,29.0,31.0,20.0,19.0,12.0,8.0
0.0,8.0,10.0,19.0,13.0,28.0,28.0,30.0,23.0,17.0,14.0,7.0
1.0,8.0,14.0,19.0,16.0,21.0,28.0,30.0,25.0,19.0,14.0,8.0
1.0,4.0,10.0,16.0,18.0,18.0,28.0,23.0,24.0,17.0,10.0,8.0
2.0,10.0,15.0,15.0,25.0,21.0,29.0,30.0,27.0,18.0,8.0,7.0
2.0,9.0,18.0,12.0,15.0,23.0,30.0,31.0,27.0,17.0,12.0,9.0
4.0,12.0,16.0,9.0,17.0,20.0,31.0,23.0,26.0,17.0,7.0,4.0
2.0,14.0,17.0,14.0,22.0,28.0,31.0,21.0,26.0,15.0,11.0,3.0
0.0,8.0,16.0,13.0,19.0,28.0,31.0,17.0,21.0,16.0,11.0,1.0
-2.0,8.0,16.0,12.0,23.0,26.0,32.0,29.0,26.0,17.0,9.0,3.0
0.0,8.0,17.0,17.0,24.0,30.0,30.0,31.0,22.0,17.0,7.0,6.0
-2.0,7.0,16.0,18.0,26.0,32.0,27.0,30.0,24.0,18.0,9.0,5.0
-1.0,7.0,17.0,13.0,27.0,32.0,24.0,30.0,26.0,19.0,11.0,4.0
-1.0,6.0,18.0,13.0,28.0,31.0,23.0,32.0,21.0,20.0,16.0,3.0
1.0,8.0,17.0,20.0,28.0,33.0,25.0,31.0,24.0,18.0,14.0,6.0
3.0,9.0,20.0,22.0,29.0,33.0,29.0,30.0,25.0,15.0,10.0,5.0
4.0,10.0,16.0,22.0,25.0,34.0,28.0,31.0,25.0,15.0,10.0,5.0
1.0,10.0,22.0,10.0,24.0,34.0,30.0,30.0,27.0,10.0,11.0,1.0
6.0,11.0,24.0,20.0,25.0,30.0,28.0,26.0,25.0,9.0,9.0,2.0
2.0,8.0,19.0,25.0,26.0,35.0,31.0,28.0,23.0,13.0,9.0,2.0
3.0,9.0,13.0,24.0,20.0,35.0,29.0,27.0,14.0,15.0,8.0,5.0
3.0,8.0,12.0,22.0,27.0,29.0,31.0,29.0,11.0,14.0,7.0,5.0
3.0,9.0,16.0,23.0,23.0,28.0,29.0,30.0,18.0,12.0,10.0,6.0
4.0,11.0,15.0,23.0,26.0,28.0,30.0,27.0,20.0,13.0,10.0,6.0
5.0,6.0,14.0,23.0,20.0,29.0,29.0,27.0,20.0,15.0,12.0,5.0
7.0,14.0,16.0,20.0,20.0,24.0,31.0,27.0,20.0,17.0,13.0,7.0
8.0,0.0,19.0,19.0,27.0,26.0,32.0,26.0,17.0,10.0,10.0,8.0
6.0,0.0,21.0,22.0,27.0,26.0,30.0,30.0,17.0,12.0,11.0,6.0
6.0,0.0,22.0,0.0,27.0,0.0,30.0,29.0,0.0,10.0,0.0,7.0
