January,February,March,April,May,June,July,August,September,October,November,December
3.0,4.0,14.0,8.0,21.0,29.0,20.0,31.0,25.0,21.0,14.0,9.0
4.0,4.0,7.0,16.0,19.0,28.0,21.0,35.0,23.0,14.0,10.0,7.0
5.0,6.0,6.0,10.0,17.0,29.0,27.0,28.0,23.0,19.0,9.0,8.0
1.0,6.0,5.0,13.0,20.0,30.0,28.0,30.0,28.0,16.0,14.0,5.0
2.0,8.0,7.0,14.0,22.0,31.0,26.0,28.0,28.0,10.0,10.0,4.0
1.0,2.0,9.0,24.0,24.0,31.0,27.0,27.0,26.0,15.0,12.0,4.0
1.0,2.0,10.0,25.0,26.0,32.0,27.0,29.0,22.0,15.0,13.0,1.0
6.0,7.0,8.0,20.0,24.0,32.0,24.0,31.0,25.0,17.0,14.0,2.0
7.0,7.0,8.0,24.0,22.0,34.0,27.0,31.0,22.0,19.0,8.0,4.0
4.0,5.0,10.0,24.0,20.0,34.0,24.0,29.0,25.0,17.0,8.0,7.0
6.0,4.0,8.0,19.0,25.0,35.0,32.0,23.0,22.0,19.0,12.0,7.0
7.0,6.0,6.0,20.0,16.0,35.0,31.0,21.0,25.0,18.0,12.0,8.0
8.0,6.0,7.0,20.0,23.0,37.0,31.0,19.0,23.0,17.0,16.0,6.0
6.0,8.0,13.0,19.0,27.0,29.0,31.0,28.0,26.0,13.0,12.0,6.0
2.0,8.0,15.0,20.0,26.0,27.0,32.0,28.0,26.0,12.0,9.0,7.0
3.0,7.0,15.0,23.0,27.0,26.0,33.0,32.0,25.0,14.0,11.0,3.0
3.0,14.0,12.0,21.0,26.0,27.0,28.0,32.0,22.0,13.0,11.0,6.0
3.0,9.0,13.0,27.0,26.0,28.0,30.0,31.0,20.0,14.0,9.0,5.0
1.0,6.0,11.0,25.0,24.0,28.0,32.0,31.0,17.0,14.0,11.0,4.0
0.0,7.0,15.0,26.0,20.0,25.0,26.0,30.0,16.0,14.0,8.0,4.0
1.0,8.0,15.0,26.0,22.0,21.0,26.0,30.0,14.0,18.0,8.0,6.0
1.0,7.0,19.0,25.0,25.0,16.0,27.0,28.0,18.0,20.0,5.0,7.0
2.0,4.0,14.0,22.0,23.0,24.0,29.0,30.0,17.0,14.0,3.0,6.0
3.0,5.0,17.0,23.0,25.0,23.0,30.0,30.0,21.0,14.0,7.0,9.0
4.0,7.0,15.0,16.0,26.0,23.0,35.0,30.0,19.0,12.0,2.0,9.0
4.0,7.0,13.0,19.0,26.0,22.0,33.0,22.0,21.0,12.0,4.0,6.0
5.0,10.0,21.0,16.0,21.0,29.0,31.0,24.0,22.0,13.0,4.0,-1.0
7.0,11.0,17.0,21.0,23.0,28.0,30.0,21.0,24.0,14.0,9.0,-5.0
8.0,10.0,15.0,20.0,29.0,26.0,34.0,28.0,22.0,11.0,5.0,-4.0
7.0,0.0,13.0,18.0,26.0,29.0,28.0,27.0,21.0,14.0,4.0,-3.0
4.0,0.0,15.0,0.0,28.0,0.0,35.0,29.0,0.0,11.0,0.0,-2.0
