January,February,March,April,May,June,July,August,September,October,November,December
-2.3,1.2,0.6,9.9,12.0,13.1,15.6,17.2,11.7,13.4,8.3,-1.6
-0.6,0.0,1.0,9.7,11.6,16.4,15.1,15.7,12.5,11.4,6.9,2.8
0.6,2.3,1.3,10.7,8.7,13.3,18.0,14.8,13.7,14.3,5.3,-1.1
0.6,3.4,1.2,7.0,10.6,15.2,17.2,16.1,13.0,15.1,6.3,-0.3
-0.7,2.6,2.0,3.7,9.1,15.9,17.0,16.0,13.5,14.4,4.3,1.3
0.0,2.6,4.1,4.1,9.8,16.1,15.3,15.3,14.4,13.1,3.9,1.9
-3.5,4.2,-0.6,-0.7,14.0,17.3,18.7,16.9,13.5,14.5,3.9,-1.2
-4.5,3.0,-0.3,-0.6,10.0,16.8,18.3,17.9,15.7,12.2,2.2,-1.5
-4.6,2.7,1.1,1.5,8.1,16.4,17.7,17.4,13.9,10.5,1.9,-1.3
-6.3,2.8,0.3,7.8,12.3,18.7,16.6,15.2,12.4,6.3,6.2,-5.7
-8.7,0.0,1.8,7.8,12.7,17.3,18.7,17.2,14.0,6.0,6.2,-0.4
-9.4,-0.4,5.5,4.3,11.6,13.8,16.2,17.2,14.4,6.3,4.7,-1.1
-7.6,-2.3,1.6,4.2,10.3,16.1,17.1,18.9,14.0,4.9,4.2,-0.3
-3.9,-3.9,3.6,4.3,11.5,14.7,16.0,19.4,14.1,2.6,8.2,0.6
-0.2,-3.5,-0.7,2.1,11.1,20.1,14.4,19.7,14.9,2.4,8.0,-0.3
-4.7,-4.4,5.5,2.1,8.4,17.3,15.6,16.9,18.3,3.8,5.2,-2.1
-5.4,-0.7,0.8,2.2,10.1,18.8,17.1,16.2,17.6,4.4,6.0,-1.2
-6.9,-2.2,2.5,6.6,7.0,23.4,18.4,15.0,17.3,4.7,4.7,-2.9
-5.4,2.6,-1.2,5.4,11.3,20.6,20.4,16.4,14.7,5.6,3.4,-1.8
-4.1,4.1,-0.8,4.0,7.4,20.1,17.0,16.7,13.2,4.7,2.4,-1.9
0.1,4.0,-1.5,6.6,8.9,21.4,18.0,16.0,12.5,12.2,1.0,-3.0
0.5,3.7,8.4,7.2,11.1,19.5,17.7,17.6,12.5,9.3,6.7,-3.9
0.8,3.9,4.8,6.6,11.3,16.9,17.0,16.1,12.5,6.5,2.6,-4.2
0.7,5.9,1.1,9.6,10.7,17.0,20.5,13.1,11.1,4.2,0.2,-1.8
-0.9,5.9,2.1,7.7,9.0,15.9,18.7,15.0,12.0,3.8,-0.6,1.8
-1.9,5.9,4.3,12.2,7.8,17.0,17.6,16.1,14.3,3.9,3.4,-0.8
-3.5,5.8,8.8,11.1,10.8,17.6,17.7,16.0,15.5,3.1,4.9,2.3
-1.8,3.3,7.6,9.5,8.4,18.0,17.1,12.7,13.7,4.1,1.8,2.7
-2.5,0.0,9.3,12.2,11.6,20.9,17.4,9.6,14.4,3.9,3.1,0.6
-1.5,0.0,6.1,12.4,8.6,17.4,17.7,12.8,14.0,1.7,-2.3,3.2
2.4,0.0,9.1,0.0,14.1,0.0,18.9,10.5,0.0,6.9,0.0,3.9
