January,February,March,April,May,June,July,August,September,October,November,December
-1.5,1.7,4.1,7.5,9.8,9.2,15.4,18.8,16.6,15.4,5.2,9.4
-1.0,2.5,4.1,9.8,11.3,12.4,16.1,18.5,15.9,14.0,5.3,6.7
1.8,4.6,5.5,10.5,11.5,12.1,14.4,17.9,15.0,15.5,2.5,7.8
1.1,4.4,5.2,7.8,12.4,11.8,14.2,16.0,16.2,13.5,11.3,8.2
1.7,3.8,4.9,11.5,10.4,14.4,16.6,16.5,16.9,13.5,10.5,7.9
2.6,4.7,7.6,8.7,9.2,13.2,16.0,14.9,17.5,12.9,9.7,8.0
3.7,3.2,6.0,8.6,11.9,16.3,17.8,17.4,17.8,11.6,9.3,5.7
2.6,2.9,4.2,10.3,11.5,15.7,14.8,16.8,17.7,14.2,10.9,2.5
3.2,3.0,3.0,11.6,13.0,17.7,14.9,19.0,18.0,15.4,11.0,5.1
4.2,0.5,3.0,5.0,11.4,16.0,14.9,18.3,15.5,15.6,10.8,3.2
5.3,0.7,4.0,6.4,12.1,18.2,14.9,20.7,13.8,16.1,10.7,-0.5
1.8,3.8,3.8,11.8,9.7,18.9,13.4,19.7,10.4,14.9,11.3,-1.5
-0.4,1.5,3.2,11.0,10.5,18.3,16.8,18.6,10.0,15.1,11.2,-1.1
0.5,2.5,6.0,7.2,11.9,15.8,17.4,17.8,10.8,14.8,11.2,3.1
-0.2,1.6,4.9,9.0,11.8,16.3,16.2,14.0,15.9,14.5,10.7,5.3
-0.9,4.8,6.9,7.6,13.2,14.7,19.0,12.5,15.2,13.5,8.1,6.4
0.9,4.5,5.1,6.7,11.2,14.1,18.0,10.4,16.1,14.5,8.0,4.5
1.7,4.6,5.3,5.0,8.5,13.6,17.8,13.9,17.5,12.8,6.8,1.8
2.9,6.4,8.8,8.0,14.8,16.7,18.9,16.2,16.0,14.6,5.9,2.9
3.6,4.9,7.1,9.1,11.8,13.8,21.1,15.5,17.4,10.8,3.0,2.5
4.5,4.4,6.6,10.5,13.4,14.2,15.8,14.9,15.7,13.1,1.7,1.2
0.3,6.2,9.8,9.1,15.2,17.8,15.5,15.8,15.9,8.9,1.7,0.2
3.7,2.5,5.8,9.3,14.3,17.4,17.6,14.9,10.2,8.2,2.2,-0.7
3.4,2.4,6.0,9.2,11.8,15.6,16.8,13.3,9.9,10.7,3.2,-2.5
1.4,1.5,3.5,10.5,11.0,16.6,16.5,15.9,11.5,5.9,4.0,-1.3
1.2,3.6,5.8,10.5,13.5,12.8,17.4,16.4,8.4,4.6,7.5,1.4
-0.2,4.8,7.0,11.8,13.3,16.5,17.6,17.4,9.5,5.0,8.3,-3.1
1.4,5.2,7.0,12.0,11.7,17.9,18.3,16.9,11.4,4.7,8.7,-2.2
0.3,0.0,6.5,11.0,14.4,13.3,17.4,15.9,12.3,3.2,9.4,0.2
0.4,0.0,6.0,10.8,12.6,13.0,17.3,18.4,14.4,3.3,8.9,-2.5
0.5,0.0,7.7,0.0,8.6,0.0,16.4,16.9,0.0,2.5,0.0,-2.7
