January,February,March,April,May,June,July,August,September,October,November,December
-2.0,0.4,-8.2,8.4,13.6,16.1,17.6,18.8,20.2,9.2,9.7,-5.2
-1.5,-2.2,-7.4,5.8,14.2,17.0,17.2,19.8,18.4,9.4,7.4,-4.6
-0.4,-3.3,-5.8,3.1,14.0,13.2,16.9,18.2,17.2,8.4,7.2,-1.6
-1.4,-2.4,-4.9,3.0,12.2,15.9,20.6,19.8,15.0,8.6,5.0,-2.0
-2.4,-2.4,-2.4,3.2,11.6,17.0,14.8,12.6,13.2,8.6,9.0,-0.4
-4.4,-6.0,-4.6,4.8,7.4,15.6,13.6,15.2,13.4,9.6,7.6,0.4
-2.0,-6.8,-1.8,7.6,10.4,14.2,13.3,17.2,12.6,11.1,8.6,-3.8
-3.2,-4.4,-3.9,7.8,12.8,11.4,12.8,14.9,16.4,11.8,5.7,-6.0
-3.3,-2.6,1.2,6.8,8.9,12.6,14.8,14.4,17.0,10.7,5.8,-1.0
-1.8,-2.4,1.4,9.7,11.0,10.0,15.0,13.4,16.4,11.6,5.4,-6.0
-4.0,-2.8,-3.4,10.2,10.1,11.2,14.8,17.0,16.5,7.3,3.6,-9.6
-3.0,-1.1,1.6,7.0,11.8,15.8,17.2,17.4,14.4,6.0,3.3,-2.8
-2.3,2.2,4.2,7.2,10.6,18.2,14.8,17.6,13.2,7.3,3.1,1.3
-5.0,3.3,1.3,8.1,12.0,16.0,18.0,14.6,14.9,7.4,1.4,-0.4
-5.8,0.4,2.8,9.3,11.6,15.4,19.0,15.8,14.8,6.0,1.6,-2.2
-6.0,2.0,4.0,6.8,12.6,17.0,17.6,12.2,18.4,6.8,2.4,-4.0
-5.4,0.4,4.2,2.9,10.3,16.8,18.6,16.1,12.0,4.1,5.2,1.6
-6.3,-2.7,4.5,5.6,11.0,16.6,20.0,15.0,11.2,8.4,0.4,-3.8
-0.4,-3.2,7.0,9.2,12.4,21.3,16.1,17.2,12.4,7.0,-0.2,-4.1
-3.6,-0.8,5.8,7.6,11.4,19.6,19.2,15.0,13.6,9.3,-3.8,-4.0
-4.4,0.6,8.8,6.8,10.5,19.7,18.2,14.1,10.6,9.6,-4.2,-5.6
1.4,-0.2,3.7,3.6,16.8,19.6,14.4,15.2,13.4,6.8,-2.2,-5.1
-2.0,-1.1,6.1,5.6,12.8,20.4,14.0,14.6,13.2,10.8,-1.2,-7.9
-3.1,-1.5,10.0,9.6,12.4,21.6,16.0,16.0,13.6,11.4,-2.2,-7.1
-3.0,-2.3,10.8,8.5,12.5,19.6,19.0,17.5,10.0,11.6,-2.3,-5.6
-0.4,0.4,11.2,6.3,13.4,17.6,21.7,18.8,9.6,10.2,-1.4,-5.0
-0.8,-3.4,10.4,8.8,14.3,21.2,21.6,16.9,14.2,8.8,-2.2,-1.6
-4.1,-4.8,8.6,11.2,15.2,20.8,19.8,16.8,14.1,7.6,-2.8,-2.4
-4.1,0.0,9.6,13.2,18.2,19.8,21.2,16.5,12.6,7.4,-3.6,-2.4
-6.0,0.0,6.9,10.2,16.4,19.0,21.6,17.7,10.8,3.6,-4.8,-8.8
-6.7,0.0,7.6,0.0,17.6,0.0,21.2,20.4,0.0,2.9,0.0,-6.8
