January,February,March,April,May,June,July,August,September,October,November,December
0.4,-2.0,4.8,4.8,9.7,14.1,19.6,16.6,10.4,9.2,1.4,-2.9
-0.2,-0.7,7.7,8.4,12.0,13.6,17.0,14.3,15.8,10.4,3.0,2.2
-0.4,0.4,6.8,4.7,9.2,15.0,14.4,15.8,15.3,11.6,2.4,4.4
0.9,-2.0,6.8,5.3,11.1,12.8,14.8,16.1,12.6,14.3,1.4,2.0
-3.2,-2.7,4.4,7.5,10.4,17.3,9.6,14.4,10.5,12.0,0.4,-0.8
-2.0,-1.5,4.0,5.6,10.8,17.2,14.8,19.6,6.6,11.6,4.6,-1.2
-1.2,3.0,8.8,6.8,13.6,16.4,13.4,17.6,7.4,10.8,-1.0,0.4
0.5,4.0,8.4,7.7,12.0,15.2,17.3,18.2,13.4,9.6,-0.8,1.4
1.0,4.4,8.1,8.4,13.2,18.0,13.2,15.2,10.5,8.7,5.4,-0.9
-1.0,3.0,6.5,9.6,16.4,18.6,13.2,14.9,13.4,10.0,1.6,-1.1
2.1,-0.2,3.8,10.4,13.3,17.4,10.9,15.4,16.0,7.8,5.4,0.4
4.9,-0.9,3.1,9.2,14.0,16.6,12.2,17.4,10.8,7.6,3.8,2.8
-0.4,4.0,4.9,10.8,17.2,18.0,14.0,17.0,9.4,6.8,1.7,4.2
-1.5,2.9,6.0,10.9,15.6,18.0,15.8,17.6,10.4,7.2,-0.4,-0.8
0.4,2.6,5.2,10.8,10.8,18.0,17.4,16.9,12.0,6.3,1.2,-3.4
1.0,-0.4,5.5,9.6,10.0,15.0,17.4,19.0,15.7,4.3,-0.7,-3.6
0.0,-0.4,7.3,10.4,11.2,16.4,18.0,20.0,17.2,5.2,0.6,-5.3
1.8,-0.4,4.4,11.0,14.2,20.7,18.0,17.4,13.7,9.2,-2.0,-6.4
2.4,0.4,2.8,10.8,9.6,18.5,18.9,14.6,9.4,1.6,-3.3,-3.6
3.4,1.0,4.3,8.6,11.8,19.0,18.8,14.8,7.6,1.2,-3.1,-2.7
1.6,3.2,3.8,10.2,13.4,23.0,18.0,13.6,9.7,2.8,-1.1,-1.5
1.6,5.6,2.0,11.8,17.4,20.0,18.0,14.8,10.7,5.3,3.0,-4.2
3.0,6.2,1.3,12.0,17.4,17.2,16.0,13.8,12.3,6.0,4.1,-4.2
1.6,6.1,4.8,13.2,16.0,16.6,21.6,15.6,11.2,6.4,6.6,-3.6
1.6,6.8,4.4,12.0,15.6,18.0,18.8,16.6,12.1,4.4,6.2,-7.4
-0.6,4.4,5.6,18.4,17.6,16.0,16.4,16.4,10.3,7.4,4.6,-4.9
-2.3,5.2,5.0,13.4,14.8,14.9,17.2,17.2,7.2,8.7,-2.0,-2.8
-1.8,4.8,4.1,10.3,11.4,12.0,20.0,18.0,5.2,11.0,-1.6,-2.8
-1.0,0.0,3.7,11.6,10.5,17.4,18.2,16.8,8.2,8.4,-1.4,-5.1
-2.0,0.0,4.4,10.8,10.4,16.4,21.8,17.2,8.8,8.5,-2.4,-3.4
-3.4,0.0,3.2,0.0,13.2,0.0,16.9,15.0,0.0,4.6,0.0,-5.8
